scheme,alpha,kappa,validation_cost,best_cost,validation_start,validation_end,candidates,effective_date
1,0.5,1.0,1073056.177624297,1073056.177624297,14,31,60,2025-02-01
1,0.5,1.0,2466031.412303711,2466031.412303711,14,59,11,2025-03-01
2,0.81,0.875,2576958.4564161943,2576958.4564161943,30,90,11,2025-04-01
2,0.82,0.75,2175250.670760938,2175250.670760938,60,120,11,2025-05-01
2,0.82,0.625,1961467.4795088146,1961467.4795088146,91,151,11,2025-06-01
2,0.81,0.625,2444821.000617271,2444821.000617271,121,181,11,2025-07-01
2,0.8,0.625,2936965.712011966,2936965.712011966,152,212,11,2025-08-01
2,0.81,0.625,2781250.5836137068,2781250.5836137068,183,243,11,2025-09-01
2,0.82,0.625,2473189.0271874713,2473189.0271874713,213,273,11,2025-10-01
2,0.83,0.625,2300372.3726017214,2300372.3726017214,244,304,11,2025-11-01
2,0.82,0.625,2484772.894201751,2484772.894201751,274,334,11,2025-12-01
