date,scheme,alpha,kappa,initial_soc_kwh,final_soc_kwh,plan_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,waste_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-01-01,2,0.8,1.0,6000.0,1200.0,0.0,87715.17001666667,0.0,4320.0,0.0,0.0,357384.78779604996,357384.78779604996
2025-01-02,2,0.8,1.0,1200.0,6049.009037222222,102186.7534269964,1393.965294999999,30883.446781560007,20651.483759563613,463.516433333333,64070.56302388513,7146.775582102164,71217.33860598729
2025-01-03,2,0.8,1.0,6049.009037222222,10800.0,97648.80842493399,0.0,14871.518910926303,7770.038451350303,45042.38659869133,62466.27342482096,0.0,62466.27342482096
2025-01-04,2,0.8,1.0,10800.0,6570.199466110321,52265.25673670272,0.0,13714.930712894522,14915.914357945278,8700.63801508681,29447.817766345623,0.0,29447.817766345623
2025-01-05,2,0.8,1.0,6570.199466110321,3861.227128468184,42162.167089049886,48223.956826058165,9413.09852097887,10062.684905870809,0.0,21706.568404721074,245730.96495793207,267437.53336265316
2025-01-06,2,0.8,1.0,3861.227128468184,10289.397770288711,133102.87530603475,0.0,23317.493605356798,13101.816242700539,32254.71684337851,90643.07095997734,0.0,90643.07095997734
2025-01-07,2,0.8,1.0,10289.397770288711,10800.0,130800.30042063634,0.0,15754.203449001616,12301.362786951151,34780.55880858588,91112.08814349255,0.0,91112.08814349255
2025-01-08,2,0.8,1.0,10800.0,8508.50864711541,109338.94204611794,0.0,17611.441345266147,16327.609707261712,18529.109091446837,73638.19067642934,0.0,73638.19067642934
2025-01-09,2,0.8,1.0,8508.50864711541,8269.743086041852,109400.89385066708,0.0,20709.65012996984,16989.705610241777,14589.393214272355,72933.52389313889,0.0,72933.52389313889
2025-01-10,2,0.8,1.0,8269.743086041852,10800.0,108700.58231416643,0.0,10547.728248611988,6266.428658813373,58928.61600770116,72313.38279229448,0.0,72313.38279229448
2025-01-11,2,0.8,1.0,10800.0,7551.680922712499,57995.081436955836,0.0,13038.115208566927,13484.360488497965,13575.440100220214,33220.442465592976,0.0,33220.442465592976
2025-01-12,2,0.8,1.0,7551.680922712499,4795.512464906968,58886.675989980926,32219.973682555643,14322.699392429198,14081.938119892624,0.0,32484.401191509693,177368.34834825917,209852.74953976885
2025-01-13,2,0.8,1.0,4795.512464906968,8345.303632367099,115910.92238045037,0.0,23337.274810059138,15708.380545433789,20008.07114915836,76508.38292484281,0.0,76508.38292484281
2025-01-14,2,0.8,1.0,8345.303632367099,8266.993913568425,109282.57070223274,0.0,20625.194609713042,16776.88638078637,16153.94953997275,72644.17287307551,0.0,72644.17287307551
2025-01-15,2,0.8,1.0,8266.993913568425,7969.465372645208,107619.00089499456,0.0,21088.192710812127,17349.211782588718,13809.677033437842,71311.69633987565,0.0,71311.69633987565
2025-01-16,2,0.8,1.0,7969.465372645208,7944.895327627046,106320.24257074675,0.0,21188.4803968864,17184.782161994335,13242.392885854682,70281.14736987997,0.0,70281.14736987997
2025-01-17,2,0.8,1.0,7944.895327627046,10800.0,101737.32894358833,0.0,11613.591695369963,6837.415068114015,54272.03884966572,66379.51082233406,0.0,66379.51082233406
2025-01-18,2,0.8,1.0,10800.0,7658.135207006888,53793.446222993996,0.0,13883.638595131943,14073.425575750674,10740.724186946063,30133.765502537117,0.0,30133.765502537117
2025-01-19,2,0.8,1.0,7658.135207006888,5045.813969716025,57784.0569324849,31323.193239918954,14606.314838415616,14182.204132678424,0.0,31804.043990516402,173027.38804209788,204831.43203261428
2025-01-20,2,0.8,1.0,5045.813969716025,8018.756519127601,110117.24717600105,0.0,24490.90860225519,17161.987673356292,14721.249697102157,72015.4365510224,0.0,72015.4365510224
2025-01-21,2,0.8,1.0,8018.756519127601,7946.176405263169,105491.6468850017,0.0,19607.66180206789,15947.528162152983,18355.608561753466,69533.53126590273,0.0,69533.53126590273
2025-01-22,2,0.8,1.0,7946.176405263169,7117.788700547321,100001.35613146171,0.0,22658.168204075773,19098.665179545635,7543.088740264906,65020.176286626855,0.0,65020.176286626855
2025-01-23,2,0.8,1.0,7117.788700547321,7714.03922112584,101833.54052873826,0.0,23804.183798879236,18744.763408571518,7208.194538430557,66146.19291798084,0.0,66146.19291798084
2025-01-24,2,0.8,1.0,7714.03922112584,10800.0,96653.82435402276,0.0,11960.917275021464,6910.978291780645,51774.472220781936,62021.47156994483,0.0,62021.47156994483
2025-01-25,2,0.8,1.0,10800.0,8278.485250426378,56121.547713296146,0.0,13643.960155340163,13320.97100044179,17358.98309173111,31764.740069857973,0.0,31764.740069857973
2025-01-26,2,0.8,1.0,8278.485250426378,5092.231300215366,61039.12127248288,26468.088844951533,14083.413891005279,14275.19380690419,0.0,34648.319837386,150683.14471975126,185331.46455713725
2025-01-27,2,0.8,1.0,5092.231300215366,7457.759837178491,104165.5029158761,0.0,23753.343158228676,17111.23227489841,13328.475249212497,66880.09901050557,0.0,66880.09901050557
2025-01-28,2,0.8,1.0,7457.759837178491,7346.252664494398,99596.9028668649,0.0,22950.55975694088,18690.309858537796,8356.253601795166,64155.596443893235,0.0,64155.596443893235
