effective_date,stage,scheme,alpha,kappa,inventory_adjusted_validation_cost_yuan
2025-02-01,baseline,1,0.5,1.0,1073056.177624297
2025-02-01,local,2,0.69,0.875,1259995.2959327803
2025-02-01,local,2,0.69,1.0,1259995.2959327803
2025-02-01,local,2,0.69,1.125,1259995.2959327803
2025-02-01,local,2,0.7,0.875,1260177.4160364547
2025-02-01,coarse,2,0.7,1.0,1260177.4160364547
2025-02-01,local,2,0.7,1.125,1260177.4160364547
2025-02-01,coarse,2,0.7,1.5,1260177.4160364547
2025-02-01,coarse,2,0.7,2.0,1260177.4160364547
2025-02-01,local,2,0.71,0.875,1260471.0671712728
2025-02-01,local,2,0.71,1.0,1260471.0671712728
2025-02-01,local,2,0.71,1.125,1260471.0671712728
2025-02-01,coarse,2,0.65,1.0,1260539.3447727945
2025-02-01,coarse,2,0.65,1.5,1260539.3447727945
2025-02-01,coarse,2,0.65,2.0,1260539.3447727945
2025-02-01,coarse,2,0.7,0.0,1260964.3640361773
2025-02-01,coarse,2,0.7,0.5,1260964.3640361773
2025-02-01,coarse,2,0.65,0.0,1262259.2433617709
2025-02-01,coarse,2,0.65,0.5,1262259.2433617709
2025-02-01,coarse,2,0.75,0.0,1269752.9456657174
2025-02-01,coarse,2,0.75,0.5,1269752.9456657174
2025-02-01,coarse,2,0.75,1.0,1269919.4128502433
2025-02-01,coarse,2,0.75,1.5,1269919.4128502433
2025-02-01,coarse,2,0.75,2.0,1269919.4128502433
2025-02-01,coarse,2,0.6,1.0,1272719.6122452673
2025-02-01,coarse,2,0.6,1.5,1272719.6122452673
2025-02-01,coarse,2,0.6,2.0,1272719.6122452673
2025-02-01,coarse,2,0.6,0.0,1275057.8424651872
2025-02-01,coarse,2,0.6,0.5,1275057.8424651872
2025-02-01,coarse,2,0.55,1.0,1283261.9911781626
2025-02-01,coarse,2,0.55,1.5,1283261.9911781626
2025-02-01,coarse,2,0.55,2.0,1283261.9911781626
2025-02-01,coarse,2,0.55,0.0,1286181.1782813347
2025-02-01,coarse,2,0.55,0.5,1286181.1782813347
2025-02-01,coarse,2,0.5,1.0,1291671.114282031
2025-02-01,coarse,2,0.5,1.5,1291671.114282031
2025-02-01,coarse,2,0.5,2.0,1291671.114282031
2025-02-01,coarse,2,0.5,0.0,1295168.4065075961
2025-02-01,coarse,2,0.5,0.5,1295168.4065075961
2025-02-01,coarse,2,0.8,0.0,1295816.047746388
2025-02-01,coarse,2,0.8,0.5,1295816.047746388
2025-02-01,coarse,2,0.8,1.0,1297259.3283121616
2025-02-01,coarse,2,0.8,1.5,1297259.3283121616
2025-02-01,coarse,2,0.8,2.0,1297259.3283121616
2025-02-01,coarse,2,0.9,0.0,1390755.039389082
2025-02-01,coarse,2,0.9,0.5,1390755.039389082
2025-02-01,baseline,0,0.5,1.0,1393946.0453820543
2025-02-01,coarse,2,0.9,1.0,1405482.6880437362
2025-02-01,coarse,2,0.9,1.5,1405482.6880437362
2025-02-01,coarse,2,0.9,2.0,1405482.6880437362
2025-02-01,coarse,2,0.85,0.0,1412224.5410469624
2025-02-01,coarse,2,0.85,0.5,1412224.5410469624
2025-02-01,coarse,2,0.85,1.0,1417181.7485797757
2025-02-01,coarse,2,0.85,1.5,1417181.7485797757
2025-02-01,coarse,2,0.85,2.0,1417181.7485797757
2025-02-01,coarse,2,0.95,0.0,1475131.890878368
2025-02-01,coarse,2,0.95,0.5,1475131.890878368
2025-02-01,coarse,2,0.95,1.0,1496678.3269246945
2025-02-01,coarse,2,0.95,1.5,1496678.3269246945
2025-02-01,coarse,2,0.95,2.0,1496678.3269246945
2025-03-01,baseline,1,0.5,1.0,2466031.412303711
