scheme,alpha,kappa,validation_cost,best_cost,validation_start,validation_end,candidates,selection_stage,effective_date
2,0.8,1.0,nan,nan,14,31,0,cold_start_guard,2025-02-01
2,0.8,1.0,nan,nan,14,59,0,cold_start_guard,2025-03-01
2,0.81,1.125,2573230.948612976,2573230.948612976,30,90,11,,2025-04-01
2,0.82,1.125,2171565.411172417,2171565.411172417,60,120,11,,2025-05-01
2,0.82,1.0,1967189.6903432596,1967189.6903432596,91,151,11,,2025-06-01
2,0.83,0.875,2447877.3411004823,2447877.3411004823,121,181,11,,2025-07-01
2,0.82,0.875,2942277.181004052,2942277.181004052,152,212,11,,2025-08-01
2,0.83,1.0,2788534.59612842,2788534.59612842,183,243,11,,2025-09-01
2,0.84,1.125,2465159.7681726557,2465159.7681726557,213,273,11,,2025-10-01
2,0.83,1.0,2307555.9511752017,2307555.9511752017,244,304,11,,2025-11-01
2,0.83,0.875,2485231.54903634,2485231.54903634,274,334,11,,2025-12-01
