source_column,source_timestamp,physical_interval,template_column_position
2,00:10,00:00-00:10,2
3,00:20,00:10-00:20,3
4,00:30,00:20-00:30,4
5,00:40,00:30-00:40,5
6,00:50,00:40-00:50,6
7,01:00,00:50-01:00,7
8,01:10,01:00-01:10,8
9,01:20,01:10-01:20,9
10,01:30,01:20-01:30,10
11,01:40,01:30-01:40,11
12,01:50,01:40-01:50,12
13,02:00,01:50-02:00,13
14,02:10,02:00-02:10,14
15,02:20,02:10-02:20,15
16,02:30,02:20-02:30,16
17,02:40,02:30-02:40,17
18,02:50,02:40-02:50,18
19,03:00,02:50-03:00,19
20,03:10,03:00-03:10,20
21,03:20,03:10-03:20,21
22,03:30,03:20-03:30,22
23,03:40,03:30-03:40,23
24,03:50,03:40-03:50,24
25,04:00,03:50-04:00,25
26,04:10,04:00-04:10,26
27,04:20,04:10-04:20,27
28,04:30,04:20-04:30,28
29,04:40,04:30-04:40,29
30,04:50,04:40-04:50,30
31,05:00,04:50-05:00,31
32,05:10,05:00-05:10,32
33,05:20,05:10-05:20,33
34,05:30,05:20-05:30,34
35,05:40,05:30-05:40,35
36,05:50,05:40-05:50,36
37,06:00,05:50-06:00,37
38,06:10,06:00-06:10,38
39,06:20,06:10-06:20,39
40,06:30,06:20-06:30,40
41,06:40,06:30-06:40,41
42,06:50,06:40-06:50,42
43,07:00,06:50-07:00,43
44,07:10,07:00-07:10,44
45,07:20,07:10-07:20,45
46,07:30,07:20-07:30,46
47,07:40,07:30-07:40,47
48,07:50,07:40-07:50,48
49,08:00,07:50-08:00,49
50,08:10,08:00-08:10,50
51,08:20,08:10-08:20,51
52,08:30,08:20-08:30,52
53,08:40,08:30-08:40,53
54,08:50,08:40-08:50,54
55,09:00,08:50-09:00,55
56,09:10,09:00-09:10,56
57,09:20,09:10-09:20,57
58,09:30,09:20-09:30,58
59,09:40,09:30-09:40,59
60,09:50,09:40-09:50,60
61,10:00,09:50-10:00,61
62,10:10,10:00-10:10,62
63,10:20,10:10-10:20,63
64,10:30,10:20-10:30,64
65,10:40,10:30-10:40,65
66,10:50,10:40-10:50,66
67,11:00,10:50-11:00,67
68,11:10,11:00-11:10,68
69,11:20,11:10-11:20,69
70,11:30,11:20-11:30,70
71,11:40,11:30-11:40,71
72,11:50,11:40-11:50,72
73,12:00,11:50-12:00,73
74,12:10,12:00-12:10,74
75,12:20,12:10-12:20,75
76,12:30,12:20-12:30,76
77,12:40,12:30-12:40,77
78,12:50,12:40-12:50,78
79,13:00,12:50-13:00,79
80,13:10,13:00-13:10,80
81,13:20,13:10-13:20,81
82,13:30,13:20-13:30,82
83,13:40,13:30-13:40,83
84,13:50,13:40-13:50,84
85,14:00,13:50-14:00,85
86,14:10,14:00-14:10,86
87,14:20,14:10-14:20,87
88,14:30,14:20-14:30,88
89,14:40,14:30-14:40,89
90,14:50,14:40-14:50,90
91,15:00,14:50-15:00,91
92,15:10,15:00-15:10,92
93,15:20,15:10-15:20,93
94,15:30,15:20-15:30,94
95,15:40,15:30-15:40,95
96,15:50,15:40-15:50,96
97,16:00,15:50-16:00,97
98,16:10,16:00-16:10,98
99,16:20,16:10-16:20,99
100,16:30,16:20-16:30,100
101,16:40,16:30-16:40,101
102,16:50,16:40-16:50,102
103,17:00,16:50-17:00,103
104,17:10,17:00-17:10,104
105,17:20,17:10-17:20,105
106,17:30,17:20-17:30,106
107,17:40,17:30-17:40,107
108,17:50,17:40-17:50,108
109,18:00,17:50-18:00,109
110,18:10,18:00-18:10,110
111,18:20,18:10-18:20,111
112,18:30,18:20-18:30,112
113,18:40,18:30-18:40,113
114,18:50,18:40-18:50,114
115,19:00,18:50-19:00,115
116,19:10,19:00-19:10,116
117,19:20,19:10-19:20,117
118,19:30,19:20-19:30,118
119,19:40,19:30-19:40,119
120,19:50,19:40-19:50,120
121,20:00,19:50-20:00,121
122,20:10,20:00-20:10,122
123,20:20,20:10-20:20,123
124,20:30,20:20-20:30,124
125,20:40,20:30-20:40,125
126,20:50,20:40-20:50,126
127,21:00,20:50-21:00,127
128,21:10,21:00-21:10,128
129,21:20,21:10-21:20,129
130,21:30,21:20-21:30,130
131,21:40,21:30-21:40,131
132,21:50,21:40-21:50,132
133,22:00,21:50-22:00,133
134,22:10,22:00-22:10,134
135,22:20,22:10-22:20,135
136,22:30,22:20-22:30,136
137,22:40,22:30-22:40,137
138,22:50,22:40-22:50,138
139,23:00,22:50-23:00,139
140,23:10,23:00-23:10,140
141,23:20,23:10-23:20,141
142,23:30,23:20-23:30,142
143,23:40,23:30-23:40,143
144,23:50,23:40-23:50,144
145,0:00+1,23:50-24:00,145
