effective_date,stage,scheme,alpha,kappa,inventory_adjusted_validation_cost_yuan
2025-03-08,causal_shadow_28d,2,0.8,1.0,1220198.2712502566
2025-03-08,causal_shadow_28d,2,0.85,0.8,1214208.5666025314
2025-03-08,causal_shadow_28d,2,0.9,0.7,1209218.7413762861
2025-03-08,causal_shadow_28d,2,0.9,0.8,1213285.2339948341
2025-03-08,causal_shadow_28d,2,0.95,0.6,1206153.4236976316
2025-03-08,causal_shadow_28d,2,0.95,0.7,1211310.4192906092
2025-03-15,causal_shadow_28d,2,0.8,1.0,1165757.8073525243
2025-03-15,causal_shadow_28d,2,0.85,0.8,1155582.8912515033
2025-03-15,causal_shadow_28d,2,0.9,0.7,1149357.232637089
2025-03-15,causal_shadow_28d,2,0.9,0.8,1150582.723703546
2025-03-15,causal_shadow_28d,2,0.95,0.6,1144554.6841247852
2025-03-15,causal_shadow_28d,2,0.95,0.7,1146659.6889120082
2025-03-22,causal_shadow_28d,2,0.8,1.0,1116613.4408400278
2025-03-22,causal_shadow_28d,2,0.85,0.8,1109448.3498603473
2025-03-22,causal_shadow_28d,2,0.9,0.7,1105552.2980795524
2025-03-22,causal_shadow_28d,2,0.9,0.8,1108473.9986318215
2025-03-22,causal_shadow_28d,2,0.95,0.6,1102121.8879830532
2025-03-22,causal_shadow_28d,2,0.95,0.7,1105440.1456209423
2025-03-29,causal_shadow_28d,2,0.8,1.0,1068206.1138076712
2025-03-29,causal_shadow_28d,2,0.85,0.8,1060822.5924190835
2025-03-29,causal_shadow_28d,2,0.9,0.7,1057631.753308567
2025-03-29,causal_shadow_28d,2,0.9,0.8,1061255.4092491039
2025-03-29,causal_shadow_28d,2,0.95,0.6,1054737.4877861235
2025-03-29,causal_shadow_28d,2,0.95,0.7,1059815.8990003348
2025-04-05,causal_shadow_28d,2,0.8,1.0,1007026.4825054455
2025-04-05,causal_shadow_28d,2,0.85,0.8,997883.1242978253
2025-04-05,causal_shadow_28d,2,0.9,0.7,995457.3323144353
2025-04-05,causal_shadow_28d,2,0.9,0.8,999805.719869116
2025-04-05,causal_shadow_28d,2,0.95,0.6,993027.742088575
2025-04-05,causal_shadow_28d,2,0.95,0.7,999413.3923722199
2025-04-12,causal_shadow_28d,2,0.8,1.0,961566.7594255095
2025-04-12,causal_shadow_28d,2,0.85,0.8,957985.0523134408
2025-04-12,causal_shadow_28d,2,0.9,0.7,957954.0964030187
2025-04-12,causal_shadow_28d,2,0.9,0.8,964880.5828081489
2025-04-12,causal_shadow_28d,2,0.95,0.6,954462.4947692346
2025-04-12,causal_shadow_28d,2,0.95,0.7,964060.937222143
2025-04-19,causal_shadow_28d,2,0.8,1.0,925834.9117481208
2025-04-19,causal_shadow_28d,2,0.85,0.8,923377.4749924032
2025-04-19,causal_shadow_28d,2,0.9,0.7,923196.6835686197
2025-04-19,causal_shadow_28d,2,0.9,0.8,926853.789955477
2025-04-19,causal_shadow_28d,2,0.95,0.6,917146.0433142282
2025-04-19,causal_shadow_28d,2,0.95,0.7,926564.7098760167
2025-04-26,causal_shadow_28d,2,0.8,1.0,893044.4358612705
2025-04-26,causal_shadow_28d,2,0.85,0.8,891183.7492325305
2025-04-26,causal_shadow_28d,2,0.9,0.7,891411.7131312105
2025-04-26,causal_shadow_28d,2,0.9,0.8,895574.5150675548
2025-04-26,causal_shadow_28d,2,0.95,0.6,887259.1918282963
2025-04-26,causal_shadow_28d,2,0.95,0.7,896736.6553748634
2025-05-03,causal_shadow_28d,2,0.8,1.0,894816.628354659
2025-05-03,causal_shadow_28d,2,0.85,0.8,896553.5712345785
2025-05-03,causal_shadow_28d,2,0.9,0.7,895407.9477358836
2025-05-03,causal_shadow_28d,2,0.9,0.8,894312.6987257575
2025-05-03,causal_shadow_28d,2,0.95,0.6,888514.8819024387
2025-05-03,causal_shadow_28d,2,0.95,0.7,891512.2503393507
2025-05-10,causal_shadow_28d,2,0.8,1.0,895126.9064548023
2025-05-10,causal_shadow_28d,2,0.85,0.8,895960.0703581834
2025-05-10,causal_shadow_28d,2,0.9,0.7,896339.0067116283
2025-05-10,causal_shadow_28d,2,0.9,0.8,897129.9101112557
2025-05-10,causal_shadow_28d,2,0.95,0.6,893984.9190481736
2025-05-10,causal_shadow_28d,2,0.95,0.7,899116.3255809409
2025-05-17,causal_shadow_28d,2,0.8,1.0,910762.0132531803
2025-05-17,causal_shadow_28d,2,0.85,0.8,909744.5095733372
2025-05-17,causal_shadow_28d,2,0.9,0.7,911035.3394591898
2025-05-17,causal_shadow_28d,2,0.9,0.8,915552.879955392
2025-05-17,causal_shadow_28d,2,0.95,0.6,912140.2979196125
2025-05-17,causal_shadow_28d,2,0.95,0.7,918137.1745455288
2025-05-24,causal_shadow_28d,2,0.8,1.0,923008.6953190338
2025-05-24,causal_shadow_28d,2,0.85,0.8,923130.9869870219
2025-05-24,causal_shadow_28d,2,0.9,0.7,923976.396274866
2025-05-24,causal_shadow_28d,2,0.9,0.8,928799.6237914058
2025-05-24,causal_shadow_28d,2,0.95,0.6,924779.0384273316
2025-05-24,causal_shadow_28d,2,0.95,0.7,931191.624730397
2025-05-31,causal_shadow_28d,2,0.8,1.0,903547.2903744838
2025-05-31,causal_shadow_28d,2,0.85,0.8,901789.2238835891
2025-05-31,causal_shadow_28d,2,0.9,0.7,901945.6454839124
2025-05-31,causal_shadow_28d,2,0.9,0.8,908543.9884628741
2025-05-31,causal_shadow_28d,2,0.95,0.6,903951.8525899467
2025-05-31,causal_shadow_28d,2,0.95,0.7,915613.3280894713
2025-06-07,causal_shadow_28d,2,0.8,1.0,1030137.9564300817
2025-06-07,causal_shadow_28d,2,0.85,0.8,1030248.8786549302
2025-06-07,causal_shadow_28d,2,0.9,0.7,1033011.6182519277
2025-06-07,causal_shadow_28d,2,0.9,0.8,1034731.7271037559
2025-06-07,causal_shadow_28d,2,0.95,0.6,1031873.077694463
2025-06-07,causal_shadow_28d,2,0.95,0.7,1034162.3521308702
2025-06-14,causal_shadow_28d,2,0.8,1.0,1133115.6870039518
2025-06-14,causal_shadow_28d,2,0.85,0.8,1129747.7855523182
2025-06-14,causal_shadow_28d,2,0.9,0.7,1131532.740611429
2025-06-14,causal_shadow_28d,2,0.9,0.8,1135475.9594539076
2025-06-14,causal_shadow_28d,2,0.95,0.6,1132426.1101247265
2025-06-14,causal_shadow_28d,2,0.95,0.7,1137574.733870279
2025-06-21,causal_shadow_28d,2,0.8,1.0,1224535.8606424858
2025-06-21,causal_shadow_28d,2,0.85,0.8,1221495.1337951317
2025-06-21,causal_shadow_28d,2,0.9,0.7,1224462.4962007601
2025-06-21,causal_shadow_28d,2,0.9,0.8,1227292.3804174017
2025-06-21,causal_shadow_28d,2,0.95,0.6,1225250.588425754
2025-06-21,causal_shadow_28d,2,0.95,0.7,1229008.7615729203
2025-06-28,causal_shadow_28d,2,0.8,1.0,1329762.7189913543
2025-06-28,causal_shadow_28d,2,0.85,0.8,1324416.4685080033
2025-06-28,causal_shadow_28d,2,0.9,0.7,1324751.4507800401
2025-06-28,causal_shadow_28d,2,0.9,0.8,1327410.4912373617
2025-06-28,causal_shadow_28d,2,0.95,0.6,1324337.1923709263
2025-06-28,causal_shadow_28d,2,0.95,0.7,1325765.6943793162
