scheme,alpha,kappa,validation_cost,best_cost,validation_start,validation_end,candidates,selection_stage,latest_observation_day,effective_date
2,0.8,1.0,nan,nan,3,31,0,cold_start_guard,30,2025-02-01
2,0.8,1.0,nan,nan,10,38,0,cold_start_guard,37,2025-02-08
2,0.8,1.0,nan,nan,17,45,0,cold_start_guard,44,2025-02-15
2,0.8,1.0,nan,nan,24,52,0,cold_start_guard,51,2025-02-22
2,0.8,1.0,nan,nan,31,59,0,cold_start_guard,58,2025-03-01
2,0.95,0.6,nan,1206153.4236976316,38,66,6,causal_shadow_28d,65,2025-03-08
2,0.95,0.6,nan,1144554.6841247852,45,73,6,causal_shadow_28d,72,2025-03-15
2,0.95,0.6,nan,1102121.8879830532,52,80,6,causal_shadow_28d,79,2025-03-22
2,0.95,0.6,nan,1054737.4877861235,59,87,6,causal_shadow_28d,86,2025-03-29
2,0.95,0.6,nan,993027.742088575,66,94,6,causal_shadow_28d,93,2025-04-05
2,0.95,0.6,nan,954462.4947692346,73,101,6,causal_shadow_28d,100,2025-04-12
2,0.95,0.6,nan,917146.0433142282,80,108,6,causal_shadow_28d,107,2025-04-19
2,0.95,0.6,nan,887259.1918282963,87,115,6,causal_shadow_28d,114,2025-04-26
2,0.95,0.6,nan,888514.8819024387,94,122,6,causal_shadow_28d,121,2025-05-03
2,0.95,0.6,nan,893984.9190481736,101,129,6,causal_shadow_28d,128,2025-05-10
2,0.85,0.8,nan,909744.5095733372,108,136,6,causal_shadow_28d,135,2025-05-17
2,0.8,1.0,nan,923008.6953190338,115,143,6,causal_shadow_28d,142,2025-05-24
2,0.85,0.8,nan,901789.2238835891,122,150,6,causal_shadow_28d,149,2025-05-31
2,0.8,1.0,nan,1030137.9564300817,129,157,6,causal_shadow_28d,156,2025-06-07
2,0.85,0.8,nan,1129747.7855523182,136,164,6,causal_shadow_28d,163,2025-06-14
2,0.85,0.8,nan,1221495.1337951317,143,171,6,causal_shadow_28d,170,2025-06-21
2,0.95,0.6,nan,1324337.1923709263,150,178,6,causal_shadow_28d,177,2025-06-28
2,0.9,0.8,nan,1311109.8941192485,157,185,6,causal_shadow_28d,184,2025-07-05
2,0.95,0.7,nan,1354804.4428689843,164,192,6,causal_shadow_28d,191,2025-07-12
2,0.9,0.8,nan,1365449.7106667962,171,199,6,causal_shadow_28d,198,2025-07-19
2,0.85,0.8,nan,1367094.9348142238,178,206,6,causal_shadow_28d,205,2025-07-26
2,0.85,0.8,nan,1344547.4050238922,185,213,6,causal_shadow_28d,212,2025-08-02
2,0.85,0.8,nan,1265530.5346291033,192,220,6,causal_shadow_28d,219,2025-08-09
2,0.95,0.6,nan,1245923.4831671182,199,227,6,causal_shadow_28d,226,2025-08-16
2,0.95,0.6,nan,1231674.9658342975,206,234,6,causal_shadow_28d,233,2025-08-23
2,0.95,0.6,nan,1205760.2149100357,213,241,6,causal_shadow_28d,240,2025-08-30
2,0.85,0.8,nan,1182141.1545939448,220,248,6,causal_shadow_28d,247,2025-09-06
2,0.8,1.0,nan,1188301.1825895014,227,255,6,causal_shadow_28d,254,2025-09-13
2,0.9,0.7,nan,1143321.5803045228,234,262,6,causal_shadow_28d,261,2025-09-20
2,0.9,0.7,nan,1102064.960233807,241,269,6,causal_shadow_28d,268,2025-09-27
2,0.95,0.6,nan,1081107.963655289,248,276,6,causal_shadow_28d,275,2025-10-04
2,0.95,0.6,nan,1018966.9140988184,255,283,6,causal_shadow_28d,282,2025-10-11
2,0.9,0.7,nan,1020353.271133669,262,290,6,causal_shadow_28d,289,2025-10-18
2,0.9,0.7,nan,1032497.6634458589,269,297,6,causal_shadow_28d,296,2025-10-25
2,0.9,0.8,nan,1047115.931025026,276,304,6,causal_shadow_28d,303,2025-11-01
2,0.9,0.8,nan,1094919.063418522,283,311,6,causal_shadow_28d,310,2025-11-08
2,0.9,0.7,nan,1137974.204681836,290,318,6,causal_shadow_28d,317,2025-11-15
2,0.95,0.6,nan,1165127.6734025378,297,325,6,causal_shadow_28d,324,2025-11-22
2,0.85,0.8,nan,1195800.3980631954,304,332,6,causal_shadow_28d,331,2025-11-29
2,0.8,1.0,nan,1281457.263362904,311,339,6,causal_shadow_28d,338,2025-12-06
2,0.8,1.0,nan,1373263.244553624,318,346,6,causal_shadow_28d,345,2025-12-13
2,0.8,1.0,nan,1439266.2976044426,325,353,6,causal_shadow_28d,352,2025-12-20
2,0.8,1.0,nan,1504724.7018656658,332,360,6,causal_shadow_28d,359,2025-12-27
