date,history_start,history_end,risk_index,alpha,kappa,controller,risk_score_0,risk_score_1,risk_score_2,risk_score_3,risk_score_4,risk_score_5,greedy_score,mpc_score
2025-03-08,2025-02-08,2025-03-07,4,0.95,0.6,mpc,1249524.2315162309,1244718.158261447,1241363.6942138602,1247293.0009432647,1238351.779729848,1244886.9195469145,1249524.2315162309,1244806.0890817146
2025-03-15,2025-02-15,2025-03-14,4,0.95,0.6,mpc,1184593.1004105762,1176029.9353697759,1171331.5657664868,1173160.2396377774,1167352.1896904823,1168789.3021224707,1174360.4773897708,1171413.5336167505
2025-03-22,2025-02-22,2025-03-21,4,0.95,0.6,mpc,1118254.9461336525,1111673.6398668564,1108675.6188711445,1112477.552294628,1105669.8426291465,1109361.4609454358,1109242.9767408923,1106408.682609773
2025-03-29,2025-03-01,2025-03-28,4,0.95,0.6,mpc,1056793.4005819983,1049895.12411688,1047573.7543464156,1052034.7295277542,1045009.3586312336,1050109.7549114241,1046422.6189799638,1044643.8248908378
2025-04-05,2025-03-08,2025-04-04,4,0.95,0.6,mpc,982567.8792742521,973945.7006607665,971928.2063671885,976412.3663677501,969888.2048923542,975541.4396963876,969916.6290482611,969095.2922912166
2025-04-12,2025-03-15,2025-04-11,4,0.95,0.6,mpc,928921.1104846314,924651.7936522303,924645.4443142033,931027.4868587464,920862.9715122391,930399.3241954537,920862.9715122391,920356.1846720225
2025-04-19,2025-03-22,2025-04-18,4,0.95,0.6,mpc,889377.7337915915,886300.5227793748,885693.3317779904,888581.2836611909,879232.8285183941,888332.4674011433,879232.8285183941,878772.0245036441
2025-04-26,2025-03-29,2025-04-25,4,0.95,0.6,mpc,855513.6717353623,853005.4701223283,852734.9882220866,855929.1161757807,847987.2734563663,857105.6689795227,847987.2734563663,847530.440553808
2025-05-03,2025-04-05,2025-05-02,4,0.95,0.6,mpc,858545.8900094662,858987.2534296014,856788.5651525552,854567.6574891834,848937.2152821438,851972.2468110543,848937.2152821438,847342.0024229583
2025-05-10,2025-04-12,2025-05-09,4,0.95,0.6,mpc,860974.4906039257,861428.3002425426,861146.7212749055,861109.9224540385,858266.5906019745,863037.0131642073,858266.5906019745,857119.7456082926
2025-05-17,2025-04-19,2025-05-16,1,0.85,0.8,mpc,879911.5409226525,878531.3100291322,879202.6936936324,882963.4869379968,879812.423000837,885524.2209259201,879812.423000837,878665.5780071552
2025-05-24,2025-04-26,2025-05-23,1,0.85,0.8,mpc,893746.8054224803,893512.3138070256,893722.6582355245,897797.1693424203,894021.1082806808,900173.8699824135,892717.3008167146,891573.4712362081
