combo,risk_index,controller,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,plan_purchase_kwh,cost_minus_layered_yuan
0,0,greedy,13942625.313666588,684408.9782826408,14627034.29194923,102812.99024270155,21885044.87502209,36939.37460591644
1,0,mpc,13940125.706563722,636341.6360216308,14576467.342585353,108253.31697523032,21879164.81321839,-13627.574757959694
2,1,greedy,13871055.805973912,723257.3901434566,14594313.196117368,108935.01697422891,21791952.81074066,4218.278774054721
3,1,mpc,13868688.257140337,672932.0179978737,14541620.27513821,113894.68246552325,21786458.0138512,-48474.64220510237
4,2,greedy,13927263.429552559,654184.7922022084,14581448.221754767,98540.02787745086,21868584.642699994,-8646.695588545874
5,2,mpc,13925065.030420206,611382.5628653306,14536447.593285538,102831.91883588234,21863598.875213973,-53647.32405777462
6,3,greedy,14106684.91131601,505980.1959187531,14612665.107234761,75678.236464679,22111310.091777675,22570.189891448244
7,3,mpc,14104971.592324195,473733.28660450137,14578704.878928697,78998.4433867906,22107420.10571731,-11390.038414616138
8,4,greedy,13984158.185171578,601503.7557737739,14585661.940945351,90069.43570399022,21942433.37575971,-4432.976397961378
9,4,mpc,13982275.631806372,563335.318048867,14545610.949855238,93683.0788412549,21938223.145983793,-44483.967488074675
10,5,greedy,14203262.827981377,438365.77131588693,14641628.599297265,65017.64285471873,22238004.39059208,51533.68195395172
11,5,mpc,14201778.702635903,410615.08524044545,14612393.787876349,67874.3001708954,22234638.988089915,22298.870533036068
