date,slot,period,price_yuan_per_kwh,load_kwh,pv_kwh,plan_purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,waste_kwh,soc_start_kwh,soc_end_kwh
2025-01-01,0,00:00-00:10,0.4527,588.2882666666667,0.0,0.0,0.0,588.2882666666667,0.0,0.0,6000.0,5346.34637037037
2025-01-01,1,00:10-00:20,0.4733,601.5881166666667,0.0,0.0,0.0,601.5881166666667,0.0,0.0,5346.34637037037,4677.9151296296295
2025-01-01,2,00:20-00:30,0.4843,621.0933333333334,0.0,0.0,0.0,621.0933333333334,0.0,0.0,4677.9151296296295,3987.811425925926
2025-01-01,3,00:30-00:40,0.4541,585.1051833333333,0.0,0.0,0.0,585.1051833333333,0.0,0.0,3987.811425925926,3337.694555555556
2025-01-01,4,00:40-00:50,0.4266,583.7604166666666,0.0,0.0,0.0,583.7604166666666,0.0,0.0,3337.694555555556,2689.0718703703706
2025-01-01,5,00:50-01:00,0.4311,631.1683333333334,0.0,0.0,0.0,631.1683333333334,0.0,0.0,2689.0718703703706,1987.7737222222222
2025-01-01,6,01:00-01:10,0.4544,650.0534166666666,0.0,0.0,0.0,650.0534166666666,0.0,0.0,1987.7737222222222,1265.4921481481483
2025-01-01,7,01:10-01:20,0.4483,652.8062666666666,0.0,0.0,0.0,58.942933333333485,593.8633333333331,0.0,1265.4921481481483,1200.0
2025-01-01,8,01:20-01:30,0.4251,636.2133333333334,0.0,0.0,0.0,0.0,636.2133333333334,0.0,1200.0,1200.0
2025-01-01,9,01:30-01:40,0.444,588.8356,0.0,0.0,0.0,0.0,588.8356,0.0,1200.0,1200.0
2025-01-01,10,01:40-01:50,0.478,615.7768833333333,0.0,0.0,0.0,0.0,615.7768833333333,0.0,1200.0,1200.0
2025-01-01,11,01:50-02:00,0.4941,677.455,0.0,0.0,0.0,0.0,677.455,0.0,1200.0,1200.0
2025-01-01,12,02:00-02:10,0.484,635.1118333333333,0.0,0.0,0.0,0.0,635.1118333333333,0.0,1200.0,1200.0
2025-01-01,13,02:10-02:20,0.4751,640.8249166666667,0.0,0.0,0.0,0.0,640.8249166666667,0.0,1200.0,1200.0
2025-01-01,14,02:20-02:30,0.488,705.77,0.0,0.0,0.0,0.0,705.77,0.0,1200.0,1200.0
2025-01-01,15,02:30-02:40,0.5215,684.9959166666666,0.0,0.0,0.0,0.0,684.9959166666666,0.0,1200.0,1200.0
2025-01-01,16,02:40-02:50,0.5498,666.1490833333334,0.0,0.0,0.0,0.0,666.1490833333334,0.0,1200.0,1200.0
2025-01-01,17,02:50-03:00,0.5471,683.6983333333333,0.0,0.0,0.0,0.0,683.6983333333333,0.0,1200.0,1200.0
2025-01-01,18,03:00-03:10,0.5067,681.0096166666666,0.0,0.0,0.0,0.0,681.0096166666666,0.0,1200.0,1200.0
2025-01-01,19,03:10-03:20,0.4769,688.9604333333333,0.0,0.0,0.0,0.0,688.9604333333333,0.0,1200.0,1200.0
2025-01-01,20,03:20-03:30,0.4669,696.5300000000001,0.0,0.0,0.0,0.0,696.5300000000001,0.0,1200.0,1200.0
2025-01-01,21,03:30-03:40,0.4501,658.8951833333333,0.0,0.0,0.0,0.0,658.8951833333333,0.0,1200.0,1200.0
2025-01-01,22,03:40-03:50,0.4608,651.7916,0.0,0.0,0.0,0.0,651.7916,0.0,1200.0,1200.0
2025-01-01,23,03:50-04:00,0.4927,683.2183333333334,0.0,0.0,0.0,0.0,683.2183333333334,0.0,1200.0,1200.0
2025-01-01,24,04:00-04:10,0.4976,687.3103833333333,0.0,0.0,0.0,0.0,687.3103833333333,0.0,1200.0,1200.0
2025-01-01,25,04:10-04:20,0.4889,694.8344666666667,0.0,0.0,0.0,0.0,694.8344666666667,0.0,1200.0,1200.0
2025-01-01,26,04:20-04:30,0.4885,710.04,0.0,0.0,0.0,0.0,710.04,0.0,1200.0,1200.0
2025-01-01,27,04:30-04:40,0.5042,702.8703666666667,0.0,0.0,0.0,0.0,702.8703666666667,0.0,1200.0,1200.0
2025-01-01,28,04:40-04:50,0.5178,710.3095,0.0,0.0,0.0,0.0,710.3095,0.0,1200.0,1200.0
2025-01-01,29,04:50-05:00,0.5042,723.65,0.0,0.0,0.0,0.0,723.65,0.0,1200.0,1200.0
2025-01-01,30,05:00-05:10,0.4639,701.3701333333333,0.00035,0.0,0.0,0.0,701.3697833333333,0.0,1200.0,1200.0
2025-01-01,31,05:10-05:20,0.4899,717.0205500000001,0.0,0.0,0.0,0.0,717.0205500000001,0.0,1200.0,1200.0
2025-01-01,32,05:20-05:30,0.5194,742.765,0.0,0.0,0.0,0.0,742.765,0.0,1200.0,1200.0
2025-01-01,33,05:30-05:40,0.4459,691.4395,0.0049833333333333335,0.0,0.0,0.0,691.4345166666666,0.0,1200.0,1200.0
2025-01-01,34,05:40-05:50,0.6726,749.6888833333334,0.0,0.0,0.0,0.0,749.6888833333334,0.0,1200.0,1200.0
2025-01-01,35,05:50-06:00,1.0693,894.8966666666666,0.0,0.0,0.0,0.0,894.8966666666666,0.0,1200.0,1200.0
2025-01-01,36,06:00-06:10,1.0696,906.8165166666666,0.06948333333333333,0.0,0.0,0.0,906.7470333333333,0.0,1200.0,1200.0
2025-01-01,37,06:10-06:20,0.9974,886.1488333333333,0.0,0.0,0.0,0.0,886.1488333333333,0.0,1200.0,1200.0
2025-01-01,38,06:20-06:30,1.0451,899.9699999999999,0.0,0.0,0.0,0.0,899.9699999999999,0.0,1200.0,1200.0
2025-01-01,39,06:30-06:40,1.0684,907.9001166666667,0.9676999999999999,0.0,0.0,0.0,906.9324166666667,0.0,1200.0,1200.0
2025-01-01,40,06:40-06:50,1.0267,907.4001666666667,0.0,0.0,0.0,0.0,907.4001666666667,0.0,1200.0,1200.0
2025-01-01,41,06:50-07:00,0.9814,905.605,0.5125000000000001,0.0,0.0,0.0,905.0925,0.0,1200.0,1200.0
2025-01-01,42,07:00-07:10,1.0187,908.2136333333333,29.299216666666666,0.0,0.0,0.0,878.9144166666666,0.0,1200.0,1200.0
2025-01-01,43,07:10-07:20,1.0362,918.3340333333334,70.24933333333333,0.0,0.0,0.0,848.0847000000001,0.0,1200.0,1200.0
2025-01-01,44,07:20-07:30,0.967,912.6666666666666,112.85000000000001,0.0,0.0,0.0,799.8166666666666,0.0,1200.0,1200.0
2025-01-01,45,07:30-07:40,0.893,888.2369166666667,158.46853333333334,0.0,0.0,0.0,729.7683833333334,0.0,1200.0,1200.0
2025-01-01,46,07:40-07:50,1.136,1014.0193833333333,209.26175,0.0,0.0,0.0,804.7576333333333,0.0,1200.0,1200.0
2025-01-01,47,07:50-08:00,1.5209,1219.3333333333333,265.38124999999997,0.0,0.0,0.0,953.9520833333333,0.0,1200.0,1200.0
2025-01-01,48,08:00-08:10,1.5206,1244.9157833333334,322.92019999999997,0.0,0.0,0.0,921.9955833333333,0.0,1200.0,1200.0
2025-01-01,49,08:10-08:20,1.4132,1204.2818333333332,370.85435,0.0,0.0,0.0,833.4274833333332,0.0,1200.0,1200.0
2025-01-01,50,08:20-08:30,1.3895,1202.6883333333333,415.01875,0.0,0.0,0.0,787.6695833333333,0.0,1200.0,1200.0
2025-01-01,51,08:30-08:40,1.361,1226.9500666666665,471.05243333333334,0.0,0.0,0.0,755.8976333333333,0.0,1200.0,1200.0
2025-01-01,52,08:40-08:50,1.3028,1212.5855,520.35525,0.0,0.0,0.0,692.23025,0.0,1200.0,1200.0
2025-01-01,53,08:50-09:00,1.2562,1179.5483333333334,558.49375,0.0,0.0,0.0,621.0545833333334,0.0,1200.0,1200.0
2025-01-01,54,09:00-09:10,1.2749,1203.6460333333332,600.2996166666667,0.0,0.0,0.0,603.3464166666665,0.0,1200.0,1200.0
2025-01-01,55,09:10-09:20,1.2735,1204.9252166666668,645.9392,0.0,0.0,0.0,558.9860166666667,0.0,1200.0,1200.0
2025-01-01,56,09:20-09:30,1.2135,1183.2216666666666,691.6374999999999,0.0,0.0,0.0,491.58416666666665,0.0,1200.0,1200.0
2025-01-01,57,09:30-09:40,1.1586,1216.1920166666666,733.9133666666667,0.0,0.0,0.0,482.27864999999997,0.0,1200.0,1200.0
2025-01-01,58,09:40-09:50,1.2464,1218.8626,770.79175,0.0,0.0,0.0,448.07084999999995,0.0,1200.0,1200.0
2025-01-01,59,09:50-10:00,1.3947,1183.2433333333333,806.1062499999999,0.0,0.0,0.0,377.1370833333334,0.0,1200.0,1200.0
2025-01-01,60,10:00-10:10,1.3761,1187.5869,846.7837333333333,0.0,0.0,0.0,340.8031666666667,0.0,1200.0,1200.0
2025-01-01,61,10:10-10:20,1.3294,1182.7184,889.7921333333334,0.0,0.0,0.0,292.9262666666666,0.0,1200.0,1200.0
2025-01-01,62,10:20-10:30,1.3646,1164.3616666666667,915.7875,0.0,0.0,0.0,248.57416666666666,0.0,1200.0,1200.0
2025-01-01,63,10:30-10:40,1.4099,1183.1616999999999,906.3296333333333,0.0,0.0,0.0,276.8320666666666,0.0,1200.0,1200.0
2025-01-01,64,10:40-10:50,1.1773,1198.9988333333333,899.3687666666666,0.0,0.0,0.0,299.6300666666667,0.0,1200.0,1200.0
2025-01-01,65,10:50-11:00,0.806,1189.1966666666667,895.35,0.0,0.0,0.0,293.8466666666667,0.0,1200.0,1200.0
2025-01-01,66,11:00-11:10,0.7483,1173.8245,863.8287,0.0,0.0,0.0,309.9957999999999,0.0,1200.0,1200.0
2025-01-01,67,11:10-11:20,0.7981,1178.1945833333332,855.2501833333334,0.0,0.0,0.0,322.94439999999975,0.0,1200.0,1200.0
2025-01-01,68,11:20-11:30,0.7929,1188.195,882.4625,0.0,0.0,0.0,305.73249999999996,0.0,1200.0,1200.0
2025-01-01,69,11:30-11:40,0.7713,1161.8398833333333,905.7907333333333,0.0,0.0,0.0,256.04915000000005,0.0,1200.0,1200.0
2025-01-01,70,11:40-11:50,0.726,1108.0822833333334,909.2501833333334,0.0,0.0,0.0,198.83209999999997,0.0,1200.0,1200.0
2025-01-01,71,11:50-12:00,0.7133,1078.5483333333334,888.61875,0.0,0.0,0.0,189.92958333333343,0.0,1200.0,1200.0
