date,slot,period,load_forecast_kwh,pv_forecast_kwh,net_point_forecast_kwh,net_plan_demand_kwh,net_error_kwh
2025-01-02,0,00:00-00:10,588.2882666666667,0.0,588.2882666666667,588.2882666666667,15.470216666666715
2025-01-02,1,00:10-00:20,601.5881166666667,0.0,601.5881166666667,601.5881166666667,2.205400000000054
2025-01-02,2,00:20-00:30,621.0933333333334,0.0,621.0933333333334,621.0933333333334,-3.0550000000000637
2025-01-02,3,00:30-00:40,585.1051833333333,0.0,585.1051833333333,585.1051833333333,39.98191666666662
2025-01-02,4,00:40-00:50,583.7604166666666,0.0,583.7604166666666,583.7604166666666,30.390216666666674
2025-01-02,5,00:50-01:00,631.1683333333334,0.0,631.1683333333334,631.1683333333334,-23.811666666666724
2025-01-02,6,01:00-01:10,650.0534166666666,0.0,650.0534166666666,650.0534166666666,-15.17041666666671
2025-01-02,7,01:10-01:20,652.8062666666666,0.0,652.8062666666666,652.8062666666666,-10.285833333333244
2025-01-02,8,01:20-01:30,636.2133333333334,0.0,636.2133333333334,636.2133333333334,-5.583333333333371
2025-01-02,9,01:30-01:40,588.8356,0.0,588.8356,588.8356,62.39521666666667
2025-01-02,10,01:40-01:50,615.7768833333333,0.0,615.7768833333333,615.7768833333333,45.59641666666664
2025-01-02,11,01:50-02:00,677.455,0.0,677.455,677.455,-29.660000000000082
2025-01-02,12,02:00-02:10,635.1118333333333,0.0,635.1118333333333,635.1118333333333,9.119850000000042
2025-01-02,13,02:10-02:20,640.8249166666667,0.0,640.8249166666667,640.8249166666667,14.456099999999992
2025-01-02,14,02:20-02:30,705.77,0.0,705.77,705.77,-29.773333333333312
2025-01-02,15,02:30-02:40,684.9959166666666,0.0,684.9959166666666,684.9959166666666,9.16775000000007
2025-01-02,16,02:40-02:50,666.1490833333334,0.0,666.1490833333334,666.1490833333334,11.756349999999998
2025-01-02,17,02:50-03:00,683.6983333333333,0.0,683.6983333333333,683.6983333333333,-30.458333333333258
2025-01-02,18,03:00-03:10,681.0096166666666,0.0,681.0096166666666,681.0096166666666,-2.955783333333329
2025-01-02,19,03:10-03:20,688.9604333333333,0.0,688.9604333333333,688.9604333333333,1.1194333333332906
2025-01-02,20,03:20-03:30,696.5300000000001,0.0,696.5300000000001,696.5300000000001,-19.676666666666733
