strategy,month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,plan_purchase_kwh,savings_vs_layered_yuan,average_emergency_price
greedy,2025-02,1252696.6101489058,51437.29836645555,1304133.9085153611,8676.634460282987,1981425.0446425912,0.0,5.928254624752041
greedy,2025-03,1104727.1391667495,28835.11419487769,1133562.2533616272,4675.426380671577,1882104.2041717651,-821.3367570445407,6.167376373218782
greedy,2025-04,898173.6528945889,29592.595093712614,927766.2479883016,4698.301765040091,1609807.6684314937,-2042.6811611464946,6.298572670216746
greedy,2025-05,923370.7383490003,27294.026173463837,950664.7645224641,4509.613134384275,1611790.6478177113,881.9053457926493,6.052409676864766
greedy,2025-06,1365820.175344004,146931.8375548449,1512752.012898849,22291.86897938971,2100292.7207484683,-6764.502873269143,6.591274948309314
greedy,2025-07,1672980.3445067587,103462.03381017361,1776442.3783169324,12928.850342202344,2355367.9343623687,-7026.265052784001,8.002415610957527
greedy,2025-08,1401814.4979312439,52301.14818819265,1454115.6461194365,6635.981421903063,2039859.6491568864,-6710.0438716777135,7.88144885631608
greedy,2025-09,1096386.5436081572,88633.32937084704,1185019.8729790042,14099.979879395805,1788665.575502124,-8054.095602993155,6.286060698594773
greedy,2025-10,1085732.9718252919,48388.92834829879,1134121.9001735908,7918.971316710251,1833419.8818304623,-1577.4032197010238,6.110506833910446
greedy,2025-11,1298263.3210213727,18689.880658411552,1316953.201679784,3183.777928939651,2053327.787606984,-684.5792191398796,5.87034682555142
greedy,2025-12,1853921.7728688396,78888.47608290869,1932810.2489517482,11540.803016033013,2647996.488529956,-5448.515751822386,6.835614122631952
mpc,2025-02,1252587.4091516715,47763.6479512343,1300351.0571029058,8888.364130758378,1981187.8577238454,3782.8514124553185,5.373727634081411
mpc,2025-03,1104634.0944408898,27149.364831611605,1131783.4592725013,4898.7830339755155,1881877.7017008134,957.4573320813943,5.54206312941748
mpc,2025-04,898128.6611411009,27594.905686054128,925723.5668271551,4790.013862792617,1609694.443634186,0.0,5.760923971515622
mpc,2025-05,923178.0375944577,28368.632273799012,951546.6698682568,4974.537264666729,1611293.1614959692,0.0,5.702768069564271
mpc,2025-06,1365313.3296784607,136008.31140448092,1501321.6410829416,23389.829920536693,2099147.4074244774,4665.8689426383935,5.814848242443318
mpc,2025-07,1672582.8455459438,96833.26771820456,1769416.1132641484,13580.004507582504,2354571.1228144295,0.0,7.130576993854231
mpc,2025-08,1401548.6869254396,45856.91532231893,1447405.6022477588,7094.591810462567,2039293.463851904,0.0,6.463643934340609
mpc,2025-09,1095972.549807401,80993.22756861005,1176965.777376011,14910.010242518347,1787665.5380603822,0.0,5.432137621049014
mpc,2025-10,1085582.0337570007,46962.463196889155,1132544.4969538897,8219.775334702012,1833064.4003548191,0.0,5.713351190831746
mpc,2025-11,1298257.616654384,18011.005806260247,1316268.6224606442,3195.017377284656,2053313.9117500382,0.0,5.637216853439223
mpc,2025-12,1853895.0174053004,73466.71579462544,1927361.7331999259,11698.749047555111,2647934.2378907027,0.0,6.279877916517839
layered,2025-02,1252696.6101489058,51437.29836645555,1304133.9085153611,8676.634460282987,1981425.0446425912,0.0,5.928254624752041
layered,2025-03,1104664.5000763515,28076.41652823128,1132740.9166045827,4838.9759322814425,1881951.5376207654,0.0,5.80214014724269
layered,2025-04,898128.6611411009,27594.905686054128,925723.5668271551,4790.013862792617,1609694.443634186,0.0,5.760923971515622
layered,2025-05,923178.0375944577,28368.632273799012,951546.6698682568,4974.537264666729,1611293.1614959692,0.0,5.702768069564271
layered,2025-06,1365793.0539557033,140194.45606987664,1505987.51002558,22494.401138364192,2100230.4142585224,0.0,6.232415577882403
layered,2025-07,1672582.8455459438,96833.26771820456,1769416.1132641484,13580.004507582504,2354571.1228144295,0.0,7.130576993854231
layered,2025-08,1401548.6869254396,45856.91532231893,1447405.6022477588,7094.591810462567,2039293.463851904,0.0,6.463643934340609
layered,2025-09,1095972.549807401,80993.22756861005,1176965.777376011,14910.010242518347,1787665.5380603822,0.0,5.432137621049014
layered,2025-10,1085582.0337570007,46962.463196889155,1132544.4969538897,8219.775334702012,1833064.4003548191,0.0,5.713351190831746
layered,2025-11,1298257.616654384,18011.005806260247,1316268.6224606442,3195.017377284656,2053313.9117500382,0.0,5.637216853439223
layered,2025-12,1853895.0174053004,73466.71579462544,1927361.7331999259,11698.749047555111,2647934.2378907027,0.0,6.279877916517839
joint,2025-02,1252696.6101489058,51437.29836645555,1304133.9085153611,8676.634460282987,1981425.0446425912,0.0,5.928254624752041
joint,2025-03,1104664.5000763515,28076.41652823128,1132740.9166045827,4838.9759322814425,1881951.5376207654,0.0,5.80214014724269
joint,2025-04,898128.6611411009,27594.905686054128,925723.5668271551,4790.013862792617,1609694.443634186,0.0,5.760923971515622
joint,2025-05,925534.2642961927,21072.634484337745,946606.8987805304,3825.395491127205,1615056.4976606572,4939.771087726345,5.508615915194799
joint,2025-06,1371429.8065609618,137331.97395375153,1508761.7805147131,21961.562044276456,2106945.596962058,-2774.270489133196,6.253288071079739
