date,day,risk_index,controller,plan_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,waste_kwh,soc_start_kwh,soc_end_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-02-01,31,0,mpc,44238.60492491747,0.0,18107.84753174895,16221.947833025426,7974.529292860609,8649.331218191313,6922.007515626,18567.062755969473,0.0,18567.062755969473
2025-02-02,32,0,mpc,84567.49632927659,337.0616014462467,22179.811411150986,18751.889666277613,3120.3582358494737,6922.007515626,6048.404823131205,58306.93257306274,2075.580803333072,60382.51337639581
2025-02-03,33,0,mpc,87392.53906094126,11.089538841620993,23790.896103833937,18680.013866419642,2075.8298623685705,6048.404823131205,6704.640353893259,61491.87674733692,60.81503100744953,61552.69177834437
2025-02-04,34,0,mpc,88033.13937090007,0.0,24726.142811240086,19719.780087489813,1831.9126971497958,6704.640353893259,7047.302120131774,62437.05304664829,0.0,62437.05304664829
2025-02-05,35,0,mpc,87458.12008792286,59.74304226336287,24251.80662537415,19930.968819500093,2448.5983409788214,7047.302120131774,6728.407172412859,62046.2227375916,363.96365742762714,62410.18639501923
2025-02-06,36,0,mpc,88615.01586910809,25.214228145993957,23027.28778847448,18840.19885597601,4182.0839480889435,6728.407172412859,6519.411897622109,62469.73476431863,181.47198885750032,62651.20675317613
2025-02-07,37,0,mpc,44148.90998607995,0.0,21639.1115430736,17294.775396844856,7998.8941731845425,6519.411897622109,6778.195178782952,18046.133395741555,0.0,18046.133395741555
2025-02-08,38,0,mpc,40394.524756056424,0.0,19867.914104398264,16402.984658749574,5352.432593741069,6778.195178782952,6433.779363019638,16398.889615452747,0.0,16398.889615452747
2025-02-09,39,0,mpc,82920.51168212968,982.8318993915941,22652.085762592087,18693.946319621864,389.7881718843845,6433.779363019638,6049.605083106004,57213.870662999725,5577.551355416441,62791.42201841617
2025-02-10,40,0,mpc,88708.10271764506,0.0,20891.510054075403,16626.617514103953,10116.572594340276,6049.605083106004,6377.944671658355,60359.231077053184,0.0,60359.231077053184
2025-02-11,41,0,mpc,85993.53219274443,6.154828610514301,22144.980157896367,17861.170064055306,6495.279794180555,6377.944671658355,6462.682298148083,58691.98107181124,32.703681821967734,58724.68475363321
2025-02-12,42,0,mpc,83485.4392867588,0.0,22507.618966181468,18305.50716657846,4016.5913538224586,6462.682298148083,6380.086960401997,56376.32589021073,0.0,56376.32589021073
2025-02-13,43,0,mpc,82231.46638555286,0.0,21189.543177799394,17039.26775941848,6751.711950505287,6380.086960401997,6518.156087734252,54915.30017681251,0.0,54915.30017681251
2025-02-14,44,0,mpc,38039.11579837975,0.0,20689.77060156464,16559.939756358355,4107.4831365068085,6518.156087734252,6739.016566522034,15528.116644107322,0.0,15528.116644107322
2025-02-15,45,0,mpc,36605.2280860651,0.0,19455.556561479487,16255.837251779272,4125.417676364887,6739.016566522034,6186.976080987717,15371.158335788903,0.0,15371.158335788903
