selector,combo,selected_updates,mean_score_gap_yuan
continuous,0,0,9971.479432494134
continuous,1,5,5619.921822276491
continuous,2,0,7353.2420388157125
continuous,3,6,2732.4860445482595
continuous,4,1,6304.322774484223
continuous,5,7,2303.5555464271833
continuous,6,0,8621.971496120732
continuous,7,4,5607.031498594148
continuous,8,0,6457.618792441968
continuous,9,20,2862.4927432695404
continuous,10,0,10703.127732937817
continuous,11,0,8085.335768707728
same_start,0,0,9969.51040325683
same_start,1,5,5617.952793039213
same_start,2,0,7375.860988112288
same_start,3,6,2755.1049938448355
same_start,4,1,6317.132142189633
same_start,5,7,2316.364914132634
same_start,6,0,8590.43374982106
same_start,7,4,5575.493752294445
same_start,8,0,6456.467528241188
same_start,9,20,2861.3414790687575
same_start,10,0,10648.40949822341
same_start,11,0,8030.61753399335
