date,history_start,history_end,selector,combo,risk_index,alpha,kappa,controller,best_score,runner_up_gap_yuan,combo_score_0,combo_score_1,combo_score_2,combo_score_3,combo_score_4,combo_score_5,combo_score_6,combo_score_7,combo_score_8,combo_score_9,combo_score_10,combo_score_11
2025-03-08,2025-02-08,2025-03-07,same_start,9,4,0.95,0.6,mpc,1235625.825023336,2430.2798986365087,1249524.2315162309,1244806.0890817146,1244726.8286129048,1240301.6631723046,1241374.454682888,1238056.1049219726,1247280.587460817,1244339.225323322,1238327.9111802347,1235625.825023336,1244830.5514612817,1242627.8647869104
2025-03-15,2025-02-15,2025-03-14,same_start,9,4,0.95,0.6,mpc,1165689.4166508215,1645.1380200597923,1184593.1004105762,1181105.682225539,1176039.7402633566,1172588.7385531974,1171333.1009439798,1168522.2547973075,1173125.5956714675,1171078.9795184522,1167334.5546708812,1165689.4166508215,1168725.664592922,1167741.681251553
2025-03-22,2025-02-22,2025-03-21,same_start,9,4,0.95,0.6,mpc,1103974.1694444965,1699.8138543684036,1118254.9461336525,1114506.7976922959,1111696.3069785107,1107861.1110658671,1108685.900777818,1105682.4379741696,1112456.228991691,1110386.9844096876,1105673.983298865,1103974.1694444965,1109324.3129229585,1108362.0756902592
2025-03-29,2025-03-01,2025-03-28,same_start,9,4,0.95,0.6,mpc,1043578.6235014473,1416.5356651274487,1056793.4005819983,1054197.267189848,1049909.8508478987,1047027.7811520784,1047578.3660127483,1045323.0102115299,1052011.378683393,1050546.922937498,1044995.1591665747,1043578.6235014473,1050059.7973291236,1049166.5470357602
2025-04-05,2025-03-08,2025-04-04,same_start,9,4,0.95,0.6,mpc,969095.2922912166,821.3367570445407,982567.8792742521,980929.2032141833,973962.1041536953,972012.9901362556,971949.3906355117,970256.1285323057,976401.8390089757,975448.248215567,969916.6290482611,969095.2922912166,975534.0736019445,975158.5786357456
2025-04-12,2025-03-15,2025-04-11,same_start,9,4,0.95,0.6,mpc,920356.1846720225,506.7868402166059,928905.1185753604,927330.3873880062,924671.4910744191,922866.5857895133,924650.8409026783,923567.2980469865,930998.975507308,930502.9203391043,920862.9715122391,920356.1846720225,930358.8655008087,930357.7039145145
2025-04-19,2025-03-22,2025-04-18,same_start,9,4,0.95,0.6,mpc,878772.0245036441,460.80401475005783,889403.7258067421,888185.6868160934,886338.6026809147,884496.2790589562,885717.6737800994,884561.2407824196,888576.5361221272,888166.5830060262,879232.8285183941,878772.0245036441,888294.7439011479,888294.7439011479
2025-04-26,2025-03-29,2025-04-25,same_start,9,4,0.95,0.6,mpc,847530.440553808,456.8329025582643,855480.8832175018,854170.3003318316,852993.8646817557,851153.1869764648,852738.5212887548,851577.8257082059,855902.5877789401,855498.79479243,847987.2734563663,847530.440553808,857071.5409128452,857071.5409128452
2025-05-03,2025-04-05,2025-05-02,same_start,9,4,0.95,0.6,mpc,847342.0024229583,1595.212859185529,858527.5791685,856239.399886887,858988.4368885055,855775.9976132917,856794.9247641289,854200.8073627239,854545.0084170233,853063.2079752473,848937.2152821438,847342.0024229583,851937.2123406022,851293.6599586012
2025-05-10,2025-04-12,2025-05-09,same_start,9,4,0.95,0.6,mpc,857119.7456082926,1146.8449936818797,860976.8992637353,859960.9594102598,861429.7585100005,859570.3904138784,861155.5620204988,859420.3110803529,861083.5696231927,860015.4839498699,858266.5906019745,857119.7456082926,862994.2539753139,862369.1579273067
