date,history_start,history_end,selector,combo,risk_index,alpha,kappa,controller,best_score,runner_up_gap_yuan,combo_score_0,combo_score_1,combo_score_2,combo_score_3,combo_score_4,combo_score_5,combo_score_6,combo_score_7,combo_score_8,combo_score_9,combo_score_10,combo_score_11
2025-03-08,2025-02-08,2025-03-07,continuous,9,4,0.95,0.6,mpc,1235649.6935729494,2395.650879995199,1249524.2315162309,1244806.0890817146,1244718.1582614472,1240292.992820847,1241363.6942138602,1238045.3444529446,1247293.0009432645,1244351.6388057694,1238351.7797298483,1235649.6935729494,1244886.9195469143,1242684.2328725434
2025-03-15,2025-02-15,2025-03-14,continuous,9,4,0.95,0.6,mpc,1165707.0516704225,1645.1380200597923,1184593.1004105764,1181105.6822255393,1176029.9353697759,1172578.9336596166,1171331.5657664866,1168520.7196198143,1173160.239637777,1171113.623484762,1167352.1896904823,1165707.0516704225,1168789.3021224707,1167805.3187811014
2025-03-22,2025-02-22,2025-03-21,continuous,9,4,0.95,0.6,mpc,1103970.0287747786,1699.8138543681707,1118254.9461336525,1114506.7976922959,1111673.6398668564,1107838.4439542128,1108675.6188711447,1105672.1560674962,1112477.552294628,1110408.3077126245,1105669.8426291468,1103970.0287747786,1109361.460945436,1108399.2237127367
2025-03-29,2025-03-01,2025-03-28,continuous,9,4,0.95,0.6,mpc,1043592.8229661061,1416.5356651273323,1056793.4005819983,1054197.267189848,1049895.12411688,1047013.0544210594,1047573.7543464157,1045318.3985451976,1052034.7295277542,1050570.2737818595,1045009.3586312335,1043592.8229661061,1050109.7549114241,1049216.5046180608
2025-04-05,2025-03-08,2025-04-04,continuous,9,4,0.95,0.6,mpc,969066.8681353097,821.3367570446571,982567.8792742521,980929.2032141832,973945.7006607663,971996.5866433267,971928.2063671886,970234.9442639826,976412.3663677502,975458.7755743413,969888.2048923543,969066.8681353097,975541.4396963879,975165.9447301887
2025-04-12,2025-03-15,2025-04-11,continuous,9,4,0.95,0.6,mpc,920356.1846720226,506.7868402164895,928921.1104846314,927346.3792972773,924651.7936522304,922846.8883673246,924645.4443142031,923561.9014585114,931027.4868587464,930531.4316905427,920862.9715122391,920356.1846720226,930399.3241954539,930398.1626091596
2025-04-19,2025-03-22,2025-04-18,continuous,9,4,0.95,0.6,mpc,878772.024503644,460.80401475005783,889377.7337915914,888159.6948009428,886300.5227793748,884458.1991574164,885693.3317779902,884536.8987803105,888581.2836611909,888171.33054509,879232.828518394,878772.024503644,888332.4674011433,888332.4674011433
2025-04-26,2025-03-29,2025-04-25,continuous,9,4,0.95,0.6,mpc,847530.440553808,456.8329025582643,855513.6717353624,854203.0888496923,853005.4701223285,851164.7924170377,852734.9882220865,851574.2926415376,855929.1161757807,855525.3231892706,847987.2734563663,847530.440553808,857105.6689795229,857105.6689795229
2025-05-03,2025-04-05,2025-05-02,continuous,9,4,0.95,0.6,mpc,847342.0024229584,1595.2128591854125,858545.8900094662,856257.7107278534,858987.2534296016,855774.8141543879,856788.5651525555,854194.4477511504,854567.6574891832,853085.8570474072,848937.2152821438,847342.0024229584,851972.2468110543,851328.6944290533
2025-05-10,2025-04-12,2025-05-09,continuous,9,4,0.95,0.6,mpc,857119.7456082924,1146.8449936818797,860974.4906039257,859958.5507504503,861428.3002425429,859568.9321464206,861146.7212749055,859411.4703347597,861109.9224540383,860041.8367807155,858266.5906019743,857119.7456082924,863037.0131642073,862411.9171162003
