slot,source_endpoint,original_template_label,output_template_label,physical_interval,source_data_column_1based,output_excel_column_1based
0,00:10,0:10-0:20,0:10-0:20,00:00-00:10,2,2
1,00:20,0:20-0:30,0:20-0:30,00:10-00:20,3,3
2,00:30,0:30-0:40,0:30-0:40,00:20-00:30,4,4
3,00:40,0:40-0:50,0:40-0:50,00:30-00:40,5,5
4,00:50,0:50-1:00,0:50-1:00,00:40-00:50,6,6
5,01:00,1:00-1:10,1:00-1:10,00:50-01:00,7,7
6,01:10,1:10-1:20,1:10-1:20,01:00-01:10,8,8
7,01:20,1:20-1:30,1:20-1:30,01:10-01:20,9,9
8,01:30,1:30-1:40,1:30-1:40,01:20-01:30,10,10
9,01:40,1:40-1:50,1:40-1:50,01:30-01:40,11,11
10,01:50,1:50-2:00,1:50-2:00,01:40-01:50,12,12
11,02:00,2:00-2:10,2:00-2:10,01:50-02:00,13,13
12,02:10,2:10-2:20,2:10-2:20,02:00-02:10,14,14
13,02:20,2:20-2:30,2:20-2:30,02:10-02:20,15,15
14,02:30,2:30-2:40,2:30-2:40,02:20-02:30,16,16
15,02:40,2:40-2:50,2:40-2:50,02:30-02:40,17,17
16,02:50,2:50-3:00,2:50-3:00,02:40-02:50,18,18
17,03:00,3:00-3:10,3:00-3:10,02:50-03:00,19,19
18,03:10,3:10-3:20,3:10-3:20,03:00-03:10,20,20
19,03:20,3:20-3:30,3:20-3:30,03:10-03:20,21,21
20,03:30,3:30-3:40,3:30-3:40,03:20-03:30,22,22
21,03:40,3:40-3:50,3:40-3:50,03:30-03:40,23,23
22,03:50,3:50-4:00,3:50-4:00,03:40-03:50,24,24
23,04:00,4:00-4:10,4:00-4:10,03:50-04:00,25,25
24,04:10,4:10-4:20,4:10-4:20,04:00-04:10,26,26
25,04:20,4:20-4:30,4:20-4:30,04:10-04:20,27,27
26,04:30,4:30-4:40,4:30-4:40,04:20-04:30,28,28
27,04:40,4:40-4:50,4:40-4:50,04:30-04:40,29,29
28,04:50,4:50-5:00,4:50-5:00,04:40-04:50,30,30
29,05:00,5:00-5:10,5:00-5:10,04:50-05:00,31,31
30,05:10,5:10-5:20,5:10-5:20,05:00-05:10,32,32
31,05:20,5:20-5:30,5:20-5:30,05:10-05:20,33,33
32,05:30,5:30-5:40,5:30-5:40,05:20-05:30,34,34
33,05:40,5:40-5:50,5:40-5:50,05:30-05:40,35,35
34,05:50,5:50-6:00,5:50-6:00,05:40-05:50,36,36
35,06:00,6:00-6:10,6:00-6:10,05:50-06:00,37,37
36,06:10,6:10-6:20,6:10-6:20,06:00-06:10,38,38
37,06:20,6:20-6:30,6:20-6:30,06:10-06:20,39,39
38,06:30,6:30-6:40,6:30-6:40,06:20-06:30,40,40
39,06:40,6:40-6:50,6:40-6:50,06:30-06:40,41,41
40,06:50,6:50-7:00,6:50-7:00,06:40-06:50,42,42
41,07:00,7:0-7:10,7:0-7:10,06:50-07:00,43,43
42,07:10,7:10-7:20,7:10-7:20,07:00-07:10,44,44
43,07:20,7:20-7:30,7:20-7:30,07:10-07:20,45,45
44,07:30,7:30-7:40,7:30-7:40,07:20-07:30,46,46
45,07:40,7:40-7:50,7:40-7:50,07:30-07:40,47,47
46,07:50,7:50-8:00,7:50-8:00,07:40-07:50,48,48
47,08:00,8:00-8:10,8:00-8:10,07:50-08:00,49,49
48,08:10,8:10-8:20,8:10-8:20,08:00-08:10,50,50
49,08:20,8:20-8:30,8:20-8:30,08:10-08:20,51,51
50,08:30,8:30-8:40,8:30-8:40,08:20-08:30,52,52
51,08:40,8:40-8:50,8:40-8:50,08:30-08:40,53,53
52,08:50,8:50-9:00,8:50-9:00,08:40-08:50,54,54
53,09:00,9:00-9:10,9:00-9:10,08:50-09:00,55,55
54,09:10,9:10-9:20,9:10-9:20,09:00-09:10,56,56
