mapping,time_label,template_time_label,source_excel_row,source_time,civil_start_minute,price_yuan_per_kwh,load_kwh,pv_kwh,purchase_kwh,charge_kwh,discharge_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh
A,00:00-00:10,,2,00:10,0,0.4248,573.3077666666666,0.0,1406.6410999999998,833.3333333333334,0.0,0.0,6000.0,6750.0
A,00:10-00:20,,3,00:20,10,0.4245,572.9965333333333,0.0,1406.3298666666667,833.3333333333334,0.0,0.0,6750.0,7500.0
A,00:20-00:30,,4,00:30,20,0.4269,574.0505166666667,0.0,1407.3838500000002,833.3333333333334,0.0,0.0,7500.0,8250.0
A,00:30-00:40,,5,00:40,30,0.4272,575.7406166666666,0.0,1409.07395,833.3333333333334,0.0,0.0,8250.0,9000.0
A,00:40-00:50,,6,00:50,40,0.4271,576.4712166666666,0.0,1409.8045499999998,833.3333333333334,0.0,0.0,9000.0,9750.0
A,00:50-01:00,,7,01:00,50,0.4285,576.6400166666666,0.0,576.6400166666666,0.0,0.0,0.0,9750.0,9750.0
A,01:00-01:10,,8,01:10,60,0.4311,577.8597,0.0,577.8597,0.0,0.0,0.0,9750.0,9750.0
A,01:10-01:20,,9,01:20,70,0.4302,577.9938666666667,0.0,577.9938666666667,0.0,0.0,0.0,9750.0,9750.0
A,01:20-01:30,,10,01:30,80,0.4279,577.82805,0.0,911.1613833333333,333.3333333333333,0.0,0.0,9750.0,10050.0
A,01:30-01:40,,11,01:40,90,0.4312,580.41545,0.0,580.41545,0.0,0.0,0.0,10050.0,10050.0
A,01:40-01:50,,12,01:50,100,0.4333,582.5140166666666,0.0,582.5140166666666,0.0,0.0,0.0,10050.0,10050.0
A,01:50-02:00,,13,02:00,110,0.4311,583.0740499999999,0.0,583.0740499999999,0.0,0.0,0.0,10050.0,10050.0
A,02:00-02:10,,14,02:10,120,0.4293,584.2049166666666,0.0,584.2049166666666,0.0,0.0,0.0,10050.0,10050.0
A,02:10-02:20,,15,02:20,130,0.4324,585.4397833333333,0.0,585.4397833333333,0.0,0.0,0.0,10050.0,10050.0
A,02:20-02:30,,16,02:30,140,0.4367,586.1447499999999,0.0,586.1447499999999,0.0,0.0,0.0,10050.0,10050.0
A,02:30-02:40,,17,02:40,150,0.4348,586.3207666666666,0.0,586.3207666666666,0.0,0.0,0.0,10050.0,10050.0
A,02:40-02:50,,18,02:50,160,0.4335,586.4253,0.0,586.4253,0.0,0.0,0.0,10050.0,10050.0
A,02:50-03:00,,19,03:00,170,0.4357,586.8496,0.0,586.8496,0.0,0.0,0.0,10050.0,10050.0
A,03:00-03:10,,20,03:10,180,0.4374,587.8210166666667,0.0,587.8210166666667,0.0,0.0,0.0,10050.0,10050.0
A,03:10-03:20,,21,03:20,190,0.4371,589.5475666666666,0.0,589.5475666666666,0.0,0.0,0.0,10050.0,10050.0
A,03:20-03:30,,22,03:30,200,0.4356,590.8134666666666,0.0,590.8134666666666,0.0,0.0,0.0,10050.0,10050.0
A,03:30-03:40,,23,03:40,210,0.4353,590.2131166666666,0.0,590.2131166666666,0.0,0.0,0.0,10050.0,10050.0
A,03:40-03:50,,24,03:50,220,0.436,591.0662666666666,0.0,591.0662666666666,0.0,0.0,0.0,10050.0,10050.0
A,03:50-04:00,,25,04:00,230,0.4378,593.3678333333332,0.0,593.3678333333332,0.0,0.0,0.0,10050.0,10050.0
A,04:00-04:10,,26,04:10,240,0.4401,593.6596833333333,0.0,593.6596833333333,0.0,0.0,0.0,10050.0,10050.0
A,04:10-04:20,,27,04:20,250,0.4389,592.7863833333333,0.0,592.7863833333333,0.0,0.0,0.0,10050.0,10050.0
A,04:20-04:30,,28,04:30,260,0.4364,593.3378666666666,0.0,593.3378666666666,0.0,0.0,0.0,10050.0,10050.0
A,04:30-04:40,,29,04:40,270,0.4393,596.7756666666667,0.0999,596.6757666666666,0.0,0.0,0.0,10050.0,10050.0
A,04:40-04:50,,30,04:50,280,0.4422,597.8193333333334,0.03908333333333333,597.78025,0.0,0.0,0.0,10050.0,10050.0
A,04:50-05:00,,31,05:00,290,0.4395,595.2105833333333,0.048083333333333325,595.1624999999999,0.0,0.0,0.0,10050.0,10050.0
A,05:00-05:10,,32,05:10,300,0.4333,593.7195166666667,3.1130166666666668,590.6065,0.0,0.0,0.0,10050.0,10050.0
A,05:10-05:20,,33,05:20,310,0.4439,598.5634833333334,9.078299999999999,589.4851833333333,0.0,0.0,0.0,10050.0,10050.0
A,05:20-05:30,,34,05:30,320,0.4301,596.6174166666666,18.161966666666665,578.4554499999999,0.0,0.0,0.0,10050.0,10050.0
A,05:30-05:40,,35,05:40,330,0.3713,581.0198333333333,30.693383333333333,1383.6597833333333,833.3333333333334,0.0,0.0,10050.0,10800.0
A,05:40-05:50,,36,05:50,340,0.5708,637.3165666666666,46.17636666666667,591.1401999999999,0.0,0.0,0.0,10800.0,10800.0
