source_excel_row,source_time,template_label,A_interval,B_civil_interval,B_is_next_day_periodic_equivalent
2,00:10,0:10-0:20,00:00-00:10,00:10-00:20,False
3,00:20,0:20-0:30,00:10-00:20,00:20-00:30,False
4,00:30,0:30-0:40,00:20-00:30,00:30-00:40,False
5,00:40,0:40-0:50,00:30-00:40,00:40-00:50,False
6,00:50,0:50-1:00,00:40-00:50,00:50-01:00,False
7,01:00,1:00-1:10,00:50-01:00,01:00-01:10,False
8,01:10,1:10-1:20,01:00-01:10,01:10-01:20,False
9,01:20,1:20-1:30,01:10-01:20,01:20-01:30,False
10,01:30,1:30-1:40,01:20-01:30,01:30-01:40,False
11,01:40,1:40-1:50,01:30-01:40,01:40-01:50,False
12,01:50,1:50-2:00,01:40-01:50,01:50-02:00,False
13,02:00,2:00-2:10,01:50-02:00,02:00-02:10,False
14,02:10,2:10-2:20,02:00-02:10,02:10-02:20,False
15,02:20,2:20-2:30,02:10-02:20,02:20-02:30,False
16,02:30,2:30-2:40,02:20-02:30,02:30-02:40,False
17,02:40,2:40-2:50,02:30-02:40,02:40-02:50,False
18,02:50,2:50-3:00,02:40-02:50,02:50-03:00,False
19,03:00,3:00-3:10,02:50-03:00,03:00-03:10,False
20,03:10,3:10-3:20,03:00-03:10,03:10-03:20,False
21,03:20,3:20-3:30,03:10-03:20,03:20-03:30,False
22,03:30,3:30-3:40,03:20-03:30,03:30-03:40,False
23,03:40,3:40-3:50,03:30-03:40,03:40-03:50,False
24,03:50,3:50-4:00,03:40-03:50,03:50-04:00,False
25,04:00,4:00-4:10,03:50-04:00,04:00-04:10,False
26,04:10,4:10-4:20,04:00-04:10,04:10-04:20,False
27,04:20,4:20-4:30,04:10-04:20,04:20-04:30,False
28,04:30,4:30-4:40,04:20-04:30,04:30-04:40,False
29,04:40,4:40-4:50,04:30-04:40,04:40-04:50,False
30,04:50,4:50-5:00,04:40-04:50,04:50-05:00,False
31,05:00,5:00-5:10,04:50-05:00,05:00-05:10,False
32,05:10,5:10-5:20,05:00-05:10,05:10-05:20,False
33,05:20,5:20-5:30,05:10-05:20,05:20-05:30,False
34,05:30,5:30-5:40,05:20-05:30,05:30-05:40,False
35,05:40,5:40-5:50,05:30-05:40,05:40-05:50,False
36,05:50,5:50-6:00,05:40-05:50,05:50-06:00,False
37,06:00,6:00-6:10,05:50-06:00,06:00-06:10,False
38,06:10,6:10-6:20,06:00-06:10,06:10-06:20,False
39,06:20,6:20-6:30,06:10-06:20,06:20-06:30,False
40,06:30,6:30-6:40,06:20-06:30,06:30-06:40,False
41,06:40,6:40-6:50,06:30-06:40,06:40-06:50,False
