mapping,time_label,interval_count,charge_kwh,discharge_kwh
A,00:00-04:00,24,4500.0,0.0
A,04:00-08:00,24,833.3333333333334,6365.837657522078
A,08:00-12:00,24,4787.959914636316,1702.9969833333334
A,12:00-16:00,24,5286.035176954732,91.1013833333335
A,16:00-20:00,24,0.0,5780.1318833333335
A,20:00-24:00,24,5333.333333333334,2859.8681166666665
B,00:00-04:00,24,4500.0,0.0
B,04:00-08:00,24,833.3333333333334,5947.416207532182
B,08:00-12:00,24,3954.626581315457,2121.4184333333333
B,12:00-16:00,24,6119.368510288065,91.1013833333335
B,16:00-20:00,24,0.0,5068.68685
B,20:00-24:00,24,5333.333333333334,3571.31315
