mapping,time_label,template_time_label,source_excel_row,source_time,civil_start_minute,price_yuan_per_kwh,load_kwh,pv_kwh,purchase_kwh,charge_kwh,discharge_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh
B,00:00-00:10,0:00+1-0:10+1,145,24:00,0,0.4276,574.1209833333332,0.0,907.4543166666666,333.3333333333333,0.0,0.0,6000.0,6300.0
B,00:10-00:20,0:10-0:20,2,00:10,10,0.4248,573.3077666666666,0.0,1406.6410999999998,833.3333333333334,0.0,0.0,6300.0,7050.0
B,00:20-00:30,0:20-0:30,3,00:20,20,0.4245,572.9965333333333,0.0,1406.3298666666667,833.3333333333334,0.0,0.0,7050.0,7800.0
B,00:30-00:40,0:30-0:40,4,00:30,30,0.4269,574.0505166666667,0.0,1407.3838500000002,833.3333333333334,0.0,0.0,7800.0,8550.0
B,00:40-00:50,0:40-0:50,5,00:40,40,0.4272,575.7406166666666,0.0,1409.07395,833.3333333333334,0.0,0.0,8550.0,9300.0
B,00:50-01:00,0:50-1:00,6,00:50,50,0.4271,576.4712166666666,0.0,1409.8045499999998,833.3333333333334,0.0,0.0,9300.0,10050.0
B,01:00-01:10,1:00-1:10,7,01:00,60,0.4285,576.6400166666666,0.0,576.6400166666666,0.0,0.0,0.0,10050.0,10050.0
B,01:10-01:20,1:10-1:20,8,01:10,70,0.4311,577.8597,0.0,577.8597,0.0,0.0,0.0,10050.0,10050.0
B,01:20-01:30,1:20-1:30,9,01:20,80,0.4302,577.9938666666667,0.0,577.9938666666667,0.0,0.0,0.0,10050.0,10050.0
B,01:30-01:40,1:30-1:40,10,01:30,90,0.4279,577.82805,0.0,577.82805,0.0,0.0,0.0,10050.0,10050.0
B,01:40-01:50,1:40-1:50,11,01:40,100,0.4312,580.41545,0.0,580.41545,0.0,0.0,0.0,10050.0,10050.0
B,01:50-02:00,1:50-2:00,12,01:50,110,0.4333,582.5140166666666,0.0,582.5140166666666,0.0,0.0,0.0,10050.0,10050.0
B,02:00-02:10,2:00-2:10,13,02:00,120,0.4311,583.0740499999999,0.0,583.0740499999999,0.0,0.0,0.0,10050.0,10050.0
B,02:10-02:20,2:10-2:20,14,02:10,130,0.4293,584.2049166666666,0.0,584.2049166666666,0.0,0.0,0.0,10050.0,10050.0
B,02:20-02:30,2:20-2:30,15,02:20,140,0.4324,585.4397833333333,0.0,585.4397833333333,0.0,0.0,0.0,10050.0,10050.0
B,02:30-02:40,2:30-2:40,16,02:30,150,0.4367,586.1447499999999,0.0,586.1447499999999,0.0,0.0,0.0,10050.0,10050.0
B,02:40-02:50,2:40-2:50,17,02:40,160,0.4348,586.3207666666666,0.0,586.3207666666666,0.0,0.0,0.0,10050.0,10050.0
B,02:50-03:00,2:50-3:00,18,02:50,170,0.4335,586.4253,0.0,586.4253,0.0,0.0,0.0,10050.0,10050.0
B,03:00-03:10,3:00-3:10,19,03:00,180,0.4357,586.8496,0.0,586.8496,0.0,0.0,0.0,10050.0,10050.0
B,03:10-03:20,3:10-3:20,20,03:10,190,0.4374,587.8210166666667,0.0,587.8210166666667,0.0,0.0,0.0,10050.0,10050.0
B,03:20-03:30,3:20-3:30,21,03:20,200,0.4371,589.5475666666666,0.0,589.5475666666666,0.0,0.0,0.0,10050.0,10050.0
B,03:30-03:40,3:30-3:40,22,03:30,210,0.4356,590.8134666666666,0.0,590.8134666666666,0.0,0.0,0.0,10050.0,10050.0
B,03:40-03:50,3:40-3:50,23,03:40,220,0.4353,590.2131166666666,0.0,590.2131166666666,0.0,0.0,0.0,10050.0,10050.0
B,03:50-04:00,3:50-4:00,24,03:50,230,0.436,591.0662666666666,0.0,591.0662666666666,0.0,0.0,0.0,10050.0,10050.0
B,04:00-04:10,4:00-4:10,25,04:00,240,0.4378,593.3678333333332,0.0,593.3678333333332,0.0,0.0,0.0,10050.0,10050.0
B,04:10-04:20,4:10-4:20,26,04:10,250,0.4401,593.6596833333333,0.0,593.6596833333333,0.0,0.0,0.0,10050.0,10050.0
B,04:20-04:30,4:20-4:30,27,04:20,260,0.4389,592.7863833333333,0.0,592.7863833333333,0.0,0.0,0.0,10050.0,10050.0
B,04:30-04:40,4:30-4:40,28,04:30,270,0.4364,593.3378666666666,0.0,593.3378666666666,0.0,0.0,0.0,10050.0,10050.0
B,04:40-04:50,4:40-4:50,29,04:40,280,0.4393,596.7756666666667,0.0999,596.6757666666666,0.0,0.0,0.0,10050.0,10050.0
B,04:50-05:00,4:50-5:00,30,04:50,290,0.4422,597.8193333333334,0.03908333333333333,597.78025,0.0,0.0,0.0,10050.0,10050.0
B,05:00-05:10,5:00-5:10,31,05:00,300,0.4395,595.2105833333333,0.048083333333333325,595.1624999999999,0.0,0.0,0.0,10050.0,10050.0
B,05:10-05:20,5:10-5:20,32,05:10,310,0.4333,593.7195166666667,3.1130166666666668,590.6065,0.0,0.0,0.0,10050.0,10050.0
B,05:20-05:30,5:20-5:30,33,05:20,320,0.4439,598.5634833333334,9.078299999999999,589.4851833333333,0.0,0.0,0.0,10050.0,10050.0
B,05:30-05:40,5:30-5:40,34,05:30,330,0.4301,596.6174166666666,18.161966666666665,578.4554499999999,0.0,0.0,0.0,10050.0,10050.0
B,05:40-05:50,5:40-5:50,35,05:40,340,0.3713,581.0198333333333,30.693383333333333,1383.6597833333333,833.3333333333334,0.0,0.0,10050.0,10800.0
B,05:50-06:00,5:50-6:00,36,05:50,350,0.5708,637.3165666666666,46.17636666666667,591.1401999999999,0.0,0.0,0.0,10800.0,10800.0
B,06:00-06:10,6:00-6:10,37,06:00,360,0.9099,733.0121166666665,64.75823333333332,0.0,0.0,668.2538833333332,0.0,10800.0,10057.495685185186
B,06:10-06:20,6:10-6:20,38,06:10,370,0.9368,742.3353833333333,86.88005,0.0,0.0,655.4553333333333,0.0,10057.495685185186,9329.211981481481
B,06:20-06:30,6:20-6:30,39,06:20,380,0.8758,728.6319833333333,112.12795,0.0,0.0,616.5040333333334,0.0,9329.211981481481,8644.2075
B,06:30-06:40,6:30-6:40,40,06:30,390,0.8759,732.1588333333334,140.70434999999998,0.0,0.0,591.4544833333334,0.0,8644.2075,7987.035851851852
B,06:40-06:50,6:40-6:50,41,06:40,400,0.8601,730.7659333333332,173.27906666666667,0.0,0.0,557.4868666666666,0.0,7987.035851851852,7367.606000000001
B,06:50-07:00,6:50-7:00,42,06:50,410,0.8442,739.1292833333333,209.88958333333335,0.0,0.0,529.2397,0.0,7367.606000000001,6779.561888888889
B,07:00-07:10,7:00-7:10,43,07:00,420,0.8334,753.90935,251.43863333333334,0.0,0.0,502.4707166666667,0.0,6779.561888888889,6221.261092592593
B,07:10-07:20,7:10-7:20,44,07:10,430,0.8092,754.0120166666667,298.56845,0.0,0.0,455.4435666666667,0.0,6221.261092592593,5715.212685185185
B,07:20-07:30,7:20-7:30,45,07:20,440,0.7972,757.6477833333333,347.5810833333333,0.0,0.0,410.0667,0.0,5715.212685185185,5259.583018518519
B,07:30-07:40,7:30-7:40,46,07:30,450,0.7644,753.8736333333333,396.87685,0.0,0.0,356.99678333333327,0.0,5259.583018518519,4862.919925925926
B,07:40-07:50,7:40-7:50,47,07:40,460,0.6899,730.5594333333333,447.1958666666667,0.0035424678175119376,0.0,283.36002419884915,0.0,4862.919925925926,4548.075454593871
