safety_quantile,terminal_target_kwh,rho_multiplier,calibration_cost_yuan,end_soc_kwh,corrected_score_yuan
0.5,4800.0,1.0,1329442.2663681614,5311.262106367785,1325779.7395230075
0.5,4800.0,2.0,1329442.2663681614,5311.262106367785,1325779.7395230075
0.5,6000.0,1.0,1330950.1843202861,6475.919042939512,1326484.5362564535
0.5,6000.0,2.0,1330950.1843202861,6475.919042939512,1326484.5362564535
0.5,7200.0,1.0,1332836.7913097225,7664.59272870343,1327551.460617345
0.5,7200.0,2.0,1332836.7913097225,7664.59272870343,1327551.460617345
0.5,4800.0,0.0,1331138.147017509,1776.004281132823,1329913.454425336
0.5,6000.0,0.0,1331138.147017509,1776.004281132823,1329913.454425336
0.5,7200.0,0.0,1331138.147017509,1776.004281132823,1329913.454425336
0.6,4800.0,1.0,1343844.006106545,5653.71738516103,1339945.329806379
0.6,4800.0,2.0,1343844.006106545,5653.71738516103,1339945.329806379
0.6,6000.0,1.0,1345598.7108266607,6784.980427330071,1340919.9409860335
0.6,6000.0,2.0,1345598.7108266607,6784.980427330071,1340919.9409860335
0.6,7200.0,1.0,1347546.07723095,7956.644092342858,1342059.3544893623
0.6,7200.0,2.0,1347546.07723095,7956.644092342858,1342059.3544893623
0.6,4800.0,0.0,1344474.4796865173,2136.6977394966166,1343001.0610010596
0.6,6000.0,0.0,1344474.4796865173,2136.6977394966166,1343001.0610010596
0.6,7200.0,0.0,1344474.4796865173,2136.6977394966166,1343001.0610010596
0.7,4800.0,1.0,1370687.5852536524,5994.118810755461,1366554.1757894286
0.7,4800.0,2.0,1370687.5852536524,5994.118810755461,1366554.1757894286
0.7,6000.0,1.0,1372759.2825910996,7091.924367739003,1367868.851115405
0.7,6000.0,2.0,1372759.2825910996,7091.924367739003,1367868.851115405
0.7,4800.0,0.0,1370276.564418079,2499.79672352831,1368552.7608429603
0.7,6000.0,0.0,1370276.564418079,2499.79672352831,1368552.7608429603
0.7,7200.0,0.0,1370276.564418079,2499.79672352831,1368552.7608429603
0.7,7200.0,1.0,1374801.9126952977,8253.361270419251,1369110.5804638453
0.7,7200.0,2.0,1374801.9126952977,8253.361270419251,1369110.5804638453
0.8,4800.0,1.0,1402691.6428962327,6448.935546305533,1398244.6020445502
0.8,4800.0,2.0,1402691.6428962327,6448.935546305533,1398244.6020445502
0.8,4800.0,0.0,1401216.2152531852,2986.3495712467425,1399156.895781719
0.8,6000.0,0.0,1401216.2152531852,2986.3495712467425,1399156.895781719
0.8,7200.0,0.0,1401216.2152531852,2986.3495712467425,1399156.895781719
0.8,6000.0,1.0,1404962.9012830537,7537.418721223128,1399765.2669248194
0.8,6000.0,2.0,1404962.9012830537,7537.418721223128,1399765.2669248194
0.8,7200.0,1.0,1407184.0167790472,8690.242569820133,1401191.421033357
0.8,7200.0,2.0,1407184.0167790472,8690.242569820133,1401191.421033357
0.9,4800.0,0.0,1449332.0132440636,3549.4641387346037,1446884.3826369352
0.9,6000.0,0.0,1449332.0132440636,3549.4641387346037,1446884.3826369352
0.9,7200.0,0.0,1449332.0132440636,3549.4641387346037,1446884.3826369352
0.9,4800.0,1.0,1451726.445836646,6976.458614825309,1446915.6369461813
0.9,4800.0,2.0,1451726.445836646,6976.458614825309,1446915.6369461813
0.9,6000.0,1.0,1454276.5624746094,8040.953314957739,1448731.701990064
0.9,6000.0,2.0,1454276.5624746094,8040.953314957739,1448731.701990064
0.9,7200.0,1.0,1456821.976916117,9170.587896914398,1450498.1458406325
0.9,7200.0,2.0,1456821.976916117,9170.587896914398,1450498.1458406325
