safety_quantile,terminal_target_kwh,rho_multiplier,calibration_cost_yuan,end_soc_kwh,corrected_score_yuan
0.6,4800.0,2.0,1358975.9929246688,5400.01986424734,1355252.2607267308
0.6,4800.0,1.0,1359022.788438568,5400.01986424734,1355299.0562406299
0.6,6000.0,2.0,1360172.4168409188,6584.903312536107,1355631.6156769185
0.6,6000.0,1.0,1360219.2108242142,6584.903312536107,1355678.4096602139
0.6,7200.0,2.0,1361527.6174296546,7776.92282461923,1356164.8264305608
0.6,7200.0,1.0,1361574.4112952112,7776.92282461923,1356211.6202961174
0.7,4800.0,1.0,1363086.1482236625,5609.297982693349,1359218.1025440018
0.7,4800.0,2.0,1363086.1482236625,5609.297982693349,1359218.1025440018
0.7,6000.0,1.0,1364335.0731777716,6785.286604640294,1359656.0922041603
0.7,6000.0,2.0,1364335.0731777716,6785.286604640294,1359656.0922041603
0.7,7200.0,1.0,1365779.1849310182,7965.420859350914,1360286.409928379
0.7,7200.0,2.0,1365779.1849310182,7965.420859350914,1360286.409928379
0.5,4800.0,2.0,1364736.1228411102,5337.75235257062,1361055.3289182053
0.5,4800.0,1.0,1364761.3541822513,5337.75235257062,1361080.5602593464
0.6,4800.0,0.0,1362481.6783210754,1899.4711165102037,1361171.84577723
0.6,6000.0,0.0,1362481.6783210754,1899.4711165102037,1361171.84577723
0.6,7200.0,0.0,1362481.6783210754,1899.4711165102037,1361171.84577723
0.5,6000.0,2.0,1365931.2665511067,6522.635800859387,1361433.4036621395
0.5,6000.0,1.0,1365956.4978922477,6522.635800859387,1361458.6350032806
0.5,7200.0,2.0,1367118.166701561,7714.65531294251,1361798.3139775004
0.5,7200.0,1.0,1367143.398042702,7714.65531294251,1361823.5453186415
0.7,4800.0,0.0,1365445.408054419,2121.247901791044,1363982.6432294217
0.7,6000.0,0.0,1365445.408054419,2121.247901791044,1363982.6432294217
0.7,7200.0,0.0,1365445.408054419,2121.247901791044,1363982.6432294217
0.5,4800.0,0.0,1369174.0696863236,1835.3085638557777,1367908.4821951315
0.5,6000.0,0.0,1369174.0696863236,1835.3085638557777,1367908.4821951315
0.5,7200.0,0.0,1369174.0696863236,1835.3085638557777,1367908.4821951315
0.8,4800.0,1.0,1383955.756730853,5841.927515472865,1379927.2949595521
0.8,4800.0,2.0,1383955.756730853,5841.927515472865,1379927.2949595521
0.8,6000.0,1.0,1385467.9796898898,7000.434848110623,1380640.6373284168
0.8,6000.0,2.0,1385467.9796898898,7000.434848110623,1380640.6373284168
0.8,7200.0,1.0,1387007.9842017982,8166.826915836549,1381376.324114243
0.8,7200.0,2.0,1387007.9842017982,8166.826915836549,1381376.324114243
0.8,4800.0,0.0,1385442.906340573,2385.9827319555825,1383797.5863332278
0.8,6000.0,0.0,1385442.906340573,2385.9827319555825,1383797.5863332278
0.8,7200.0,0.0,1385442.906340573,2385.9827319555825,1383797.5863332278
0.9,4800.0,1.0,1446798.0075738332,6138.863840913114,1442564.785193576
0.9,4800.0,2.0,1446798.0075738332,6138.863840913114,1442564.785193576
0.9,6000.0,1.0,1448669.682805295,7257.7253997714215,1443664.9186684343
0.9,6000.0,2.0,1448669.682805295,7257.7253997714215,1443664.9186684343
0.9,7200.0,1.0,1450565.47570127,8416.706191682977,1444761.5044873746
0.9,7200.0,2.0,1450565.47570127,8416.706191682977,1444761.5044873746
0.9,4800.0,0.0,1446686.7882786514,2705.273424799447,1444821.2925935618
0.9,6000.0,0.0,1446686.7882786514,2705.273424799447,1444821.2925935618
0.9,7200.0,0.0,1446686.7882786514,2705.273424799447,1444821.2925935618
