方案,日期,时段,电价,实际负荷电量,实际光伏电量,原始计划购电量,最终调整购电量,增购量,减购量,调整交易价格,紧急购电量,充电量,放电量,弃电量,SOC
C,2025-02-01,00:00,0.4248,422.0303666666667,0.0,1266.4457556491452,1266.4457556491452,0.0,0.0,,0.0,833.3333333333333,0.0,11.082055649145332,6150.01986424734
C,2025-02-01,00:10,0.4245,415.4073166666667,0.0,1279.0576637574175,1279.0576637574175,0.0,0.0,,0.0,833.3333333333333,0.0,30.3170137574175,6900.01986424734
C,2025-02-01,00:20,0.4269,410.7166666666667,0.0,1297.8832234945546,1297.8832234945546,0.0,0.0,,0.0,833.3333333333333,0.0,53.83322349455466,7650.01986424734
C,2025-02-01,00:30,0.4272,430.29479999999995,0.0,1307.5293078643776,1307.5293078643776,0.0,0.0,,0.0,833.3333333333333,0.0,43.90117453104449,8400.01986424734
C,2025-02-01,00:40,0.4271,424.4105833333333,0.0,1317.224101036805,1317.224101036805,0.0,0.0,,0.0,833.3333333333333,0.0,59.48018437013843,9150.01986424734
C,2025-02-01,00:50,0.4285,406.0516666666666,0.0,650.1906271486555,650.1906271486555,0.0,0.0,,0.0,244.13896048198887,0.0,0.0,9369.74492868113
C,2025-02-01,01:00,0.4311,436.7501833333333,0.0,478.4648387263082,478.4648387263082,0.0,0.0,,0.0,41.71465539297486,0.0,0.0,9407.288118534807
C,2025-02-01,01:10,0.4302,451.7976833333333,0.0,464.9604504203246,464.9604504203246,0.0,0.0,,0.0,13.162767086991323,0.0,0.0,9419.134608913098
C,2025-02-01,01:20,0.4279,446.08,0.0,1292.9283690094462,1292.9283690094462,0.0,0.0,,0.0,833.3333333333333,0.0,13.51503567611303,10169.134608913098
C,2025-02-01,01:30,0.4312,471.7663333333333,0.0,495.10839618039864,495.10839618039864,0.0,0.0,,0.0,23.342062847065336,0.0,0.0,10190.142465475457
C,2025-02-01,01:40,0.4333,448.02596666666665,0.0,500.4349968831622,500.4349968831622,0.0,0.0,,0.0,52.40903021649558,0.0,0.0,10237.310592670303
C,2025-02-01,01:50,0.4311,397.4033333333333,0.0,479.6475579125076,479.6475579125076,0.0,0.0,,0.0,82.24422457917427,0.0,0.0,10311.33039479156
C,2025-02-01,02:00,0.4293,434.0906333333333,0.0,492.62244387381793,492.62244387381793,0.0,0.0,,0.0,58.53181054048463,0.0,0.0,10364.009024277995
C,2025-02-01,02:10,0.4324,490.5609166666666,0.0,513.2805127704314,513.2805127704314,0.0,0.0,,0.0,22.719596103764786,0.0,0.0,10384.456660771384
C,2025-02-01,02:20,0.4367,503.22,0.0,508.0283672108375,508.0283672108375,0.0,0.0,,0.0,4.808367210837446,0.0,0.0,10388.784191261138
C,2025-02-01,02:30,0.4348,474.07281666666665,0.0,512.8802010361969,512.8802010361969,0.0,0.0,,0.0,38.80738436953027,0.0,0.0,10423.710837193716
C,2025-02-01,02:40,0.4335,461.38439999999997,0.0,521.691280525706,521.691280525706,0.0,0.0,,0.0,60.30688052570605,0.0,0.0,10477.98702966685
C,2025-02-01,02:50,0.4357,476.94166666666666,0.0,541.4105545666191,541.4105545666191,0.0,0.0,,0.0,64.46888789995245,0.0,0.0,10536.009028776807
C,2025-02-01,03:00,0.4374,483.39955,0.0,539.0323418272579,539.0323418272579,0.0,0.0,,0.0,55.63279182725796,0.0,0.0,10586.078541421339
C,2025-02-01,03:10,0.4371,486.6019166666666,0.0,528.8791947428574,528.8791947428574,0.0,0.0,,0.0,42.27727807619078,0.0,0.0,10624.12809168991
C,2025-02-01,03:20,0.4356,498.84833333333336,0.0,518.74197122953,518.74197122953,0.0,0.0,,0.0,19.89363789619665,0.0,0.0,10642.032365796487
C,2025-02-01,03:30,0.4353,518.3097333333333,0.0,508.6815095960924,508.6815095960924,0.0,0.0,,0.0,0.0,9.628223737240887,0.0,10631.334339421775
C,2025-02-01,03:40,0.436,509.13346666666666,0.0,508.45613420133526,508.45613420133526,0.0,0.0,,0.0,0.0,0.6773324653314035,0.0,10630.581747793629
C,2025-02-01,03:50,0.4378,483.6166666666666,0.0,532.3682331345461,532.3682331345461,0.0,0.0,,0.0,48.75156646787951,0.0,0.0,10674.458157614721
C,2025-02-01,04:00,0.4401,491.1868,0.0,543.5167332295201,543.5167332295201,0.0,0.0,,0.0,52.32993322952012,0.0,0.0,10721.55509752129
