safety_quantile,terminal_target_kwh,rho_multiplier,calibration_cost_yuan,end_soc_kwh,corrected_score_yuan
0.5,6000.0,1.0,1470114.2772346784,6491.250253641917,1465638.0548787515
0.5,6000.0,2.0,1470114.2772346784,6491.250253641917,1465638.0548787515
0.5,4800.0,1.0,1469544.3176900675,5327.67628010261,1465870.4701663556
0.5,4800.0,2.0,1469544.3176900675,5327.67628010261,1465870.4701663556
0.5,7200.0,1.0,1471897.2187485218,7672.706490192719,1466606.2903480034
0.5,7200.0,2.0,1471897.2187485218,7672.706490192719,1466606.2903480034
0.5,4800.0,0.0,1474737.085511511,1799.6023907188514,1473496.1195745412
0.5,6000.0,0.0,1474737.085511511,1799.6023907188514,1473496.1195745412
0.5,7200.0,0.0,1474737.085511511,1799.6023907188514,1473496.1195745412
0.6,4800.0,2.0,1481700.6703869663,5673.260162078856,1477788.5158749386
0.6,4800.0,1.0,1481704.9881940675,5673.260162078856,1477792.8336820398
0.6,6000.0,2.0,1482618.6891597088,6810.4539703023365,1477922.3509929937
0.6,6000.0,1.0,1482623.0069668102,6810.4539703023365,1477926.668800095
0.6,7200.0,2.0,1484440.220137148,7977.473569059867,1478939.131111408
0.6,7200.0,1.0,1484444.537944249,7977.473569059867,1478943.448918509
0.6,4800.0,0.0,1485577.577184705,2154.7586106552612,1484091.7033872453
0.6,6000.0,0.0,1485577.577184705,2154.7586106552612,1484091.7033872453
0.6,7200.0,0.0,1485577.577184705,2154.7586106552612,1484091.7033872453
0.7,4800.0,1.0,1510814.3757886034,6007.322746828429,1506671.8591195636
0.7,4800.0,2.0,1510814.3757886034,6007.322746828429,1506671.8591195636
0.7,6000.0,1.0,1512116.2287206985,7112.8933722922175,1507211.3350431647
0.7,6000.0,2.0,1512116.2287206985,7112.8933722922175,1507211.3350431647
0.7,7200.0,1.0,1514138.311634057,8266.347678756201,1508438.0214225138
0.7,7200.0,2.0,1514138.311634057,8266.347678756201,1508438.0214225138
0.7,4800.0,0.0,1513973.873133269,2505.183024456046,1512246.354423993
0.7,6000.0,0.0,1513973.873133269,2505.183024456046,1512246.354423993
0.7,7200.0,0.0,1513973.873133269,2505.183024456046,1512246.354423993
0.8,4800.0,1.0,1549368.7710112038,6447.146081101636,1544922.9619154965
0.8,4800.0,2.0,1549368.7710112038,6447.146081101636,1544922.9619154965
0.8,6000.0,1.0,1551032.48360992,7536.621141723009,1545835.3966506235
0.8,6000.0,2.0,1551032.48360992,7536.621141723009,1545835.3966506235
0.8,7200.0,1.0,1553279.439301999,8678.46607121807,1547294.9613778358
0.8,7200.0,2.0,1553279.439301999,8678.46607121807,1547294.9613778358
0.8,4800.0,0.0,1551222.0501782077,2975.15470504372,1549170.4494106073
0.8,6000.0,0.0,1551222.0501782077,2975.15470504372,1549170.4494106073
0.8,7200.0,0.0,1551222.0501782077,2975.15470504372,1549170.4494106073
0.9,4800.0,1.0,1606187.4629889964,6932.423369474908,1601407.017426944
0.9,4800.0,2.0,1606187.4629889964,6932.423369474908,1601407.017426944
0.9,6000.0,1.0,1608217.1309692252,7996.271661453224,1602703.079195458
0.9,6000.0,2.0,1608217.1309692252,7996.271661453224,1602703.079195458
0.9,4800.0,0.0,1606725.8320634647,3501.107416016946,1604311.5459592917
0.9,6000.0,0.0,1606725.8320634647,3501.107416016946,1604311.5459592917
0.9,7200.0,0.0,1606725.8320634647,3501.107416016946,1604311.5459592917
0.9,7200.0,1.0,1610773.8617054215,9110.825020178207,1604491.2386293232
0.9,7200.0,2.0,1610773.8617054215,9110.825020178207,1604491.2386293232
