方案,日期,时段,电价,实际负荷电量,实际光伏电量,原始计划购电量,最终调整购电量,增购量,减购量,调整交易价格,紧急购电量,充电量,放电量,弃电量,SOC
C,2025-02-01,00:00,0.3281,422.0303666666667,0.0,453.703801766031,453.703801766031,0.0,0.0,,0.0,31.673435099364326,0.0,0.0,6519.756345231345
C,2025-02-01,00:10,0.3257,415.4073166666667,0.0,455.3521423091465,455.3521423091465,0.0,0.0,,0.0,39.94482564247977,0.0,0.0,6555.706688309577
C,2025-02-01,00:20,0.3041,410.7166666666667,0.0,1288.8646693030214,1288.8646693030214,0.0,0.0,,0.0,833.3333333333333,0.0,44.81466930302145,7305.706688309577
C,2025-02-01,00:30,0.3126,430.29479999999995,0.0,1300.9096868963243,1300.9096868963243,0.0,0.0,,0.0,833.3333333333333,0.0,37.28155356299112,8055.706688309577
C,2025-02-01,00:40,0.3286,424.4105833333333,0.0,487.1655768188609,487.1655768188609,0.0,0.0,,0.0,62.75499348552762,0.0,0.0,8112.186182446551
C,2025-02-01,00:50,0.3438,406.0516666666666,0.0,495.5923413475942,495.5923413475942,0.0,0.0,,0.0,89.54067468092757,0.0,0.0,8192.772789659386
C,2025-02-01,01:00,0.3704,436.7501833333333,0.0,493.37671635714315,493.37671635714315,0.0,0.0,,0.0,56.62653302380983,0.0,0.0,8243.736669380814
C,2025-02-01,01:10,0.3746,451.7976833333333,0.0,469.1896489049096,469.1896489049096,0.0,0.0,,0.0,17.391965571576293,0.0,0.0,8259.389438395234
C,2025-02-01,01:20,0.3606,446.08,0.0,459.28590452505335,459.28590452505335,0.0,0.0,,0.0,13.20590452505337,0.0,0.0,8271.274752467782
C,2025-02-01,01:30,0.3582,471.7663333333333,0.0,485.23168485845434,485.23168485845434,0.0,0.0,,0.0,13.465351525121037,0.0,0.0,8283.39356884039
C,2025-02-01,01:40,0.3041,448.02596666666665,0.0,1344.0373868454294,1344.0373868454294,0.0,0.0,,0.0,833.3333333333333,0.0,62.67808684542956,9033.39356884039
C,2025-02-01,01:50,0.2537,397.4033333333333,0.0,1332.6833628459863,1332.6833628459863,0.0,0.0,,0.0,833.3333333333333,0.0,101.9466961793197,9783.39356884039
C,2025-02-01,02:00,0.3346,434.0906333333333,0.0,498.773850096012,498.773850096012,0.0,0.0,,0.0,64.68321676267868,0.0,0.0,9841.608463926801
C,2025-02-01,02:10,0.3971,490.5609166666666,0.0,340.0378842330973,340.0378842330973,0.0,0.0,,0.0,0.0,150.5230324335693,0.0,9674.360650111725
C,2025-02-01,02:20,0.367,503.22,0.0,509.9285627753144,509.9285627753144,0.0,0.0,,0.0,6.708562775314363,0.0,0.0,9680.398356609508
